idx,C3L-02504,C3N-02782,C3N-01505,C3L-01149,C3N-01515,C3N-02256,C3L-03744,C3N-03183,C3L-03392,C3L-03727,C3L-02708,C3L-02642,C3N-01814,C3N-02185,C3L-02041,C3N-01518,C3L-01049,C3N-02786,C3N-03186,C3L-00677,C3L-03390,C3L-01156,C3N-02788,C3N-01369,C3N-03070,C3L-01157,C3N-01852,C3L-03407,C3N-02183,C3L-01834,C3N-01818,C3N-01517,C3N-02785,C3L-04084,C3N-03182,C3L-01154,C3L-03405,C3N-02255,C3L-02984,C3L-02707,C3N-02186,C3N-02769,C3N-01364,C3N-01367,C3L-01045,C3L-03968,C3L-02704,C3L-03266,C3N-01816,C3L-02970,C3L-03681,C3N-02784,C3N-02188,C3N-02181,C3N-00661,C3L-00104,C3N-01368,C3L-01048,C3N-03184,C3N-03188,C3N-01857,C3L-02900,C3L-01327,C3N-02190,C3L-01040,C3L-00674,C3L-01043,C3N-00662,C3N-01851,C3L-03728,C3L-03400,C3N-01856,C3L-03260,C3N-03088,C3N-02783,C3L-01155,C3N-00663,C3N-01192,C3L-02465,C3N-01815,C3L-01142,C3L-02542,C3N-02770,C3L-02705,C3L-01061,C3L-03387,C3L-01046,C3N-01366,C3N-00665,C3N-01196,C3L-01887,C3N-01334,C3N-03473,C3N-01798,C3L-02955,C3L-03748,C3L-00365
ENSG00000160789.20,-0.3392976438448012,-0.3365725069468315,-1.322035503984226,-0.2583998147043958,-0.312990383588883,-0.3208146226392004,-0.35304576249856523,-0.33000356632372874,-0.34606743935269113,-0.39160469936965503,-0.3358366020440058,-0.3252577064179099,-0.4894321016903913,-0.3356138976856049,-0.29794261843523956,-0.375634486695048,-0.3622229171251645,-0.35868808060071383,-0.35422178441675944,-0.3849431898068829,-0.3701178700305059,-0.36687997964569025,-0.3315200574485443,-0.2504290130083723,-0.3965572476243047,-0.38824066973382654,-0.37263884595489116,-0.3895019484947041,-0.3873572712032167,-0.381005895001617,-0.33936457413829696,-0.2994393431636915,-0.32115322806634333,-0.39438156923854606,-0.3383628522319362,-0.34132227511344726,-0.3775555507896404,-0.3827636705800002,-0.22196988462784076,-0.333830336218178,-0.3113375477770372,-0.3910028455203544,-0.3256580187856521,-0.44231464179056634,-0.41324978923867733,-0.33406220814756116,-0.33932629726376806,-0.371588308484172,-0.2679784007759775,-0.2880174639454012,-0.36234185821716214,-0.10897087117268113,-0.5166755044892192,-0.3576559531923362,-0.35456080134150975,-0.2625341646878339,0.36711169363101154,-0.3482430883122759,-0.3062159412140092,-0.3079980769987199,-0.3515211449236013,-0.33926527249174354,-0.4050637195195189,-0.28347029912237215,-0.41808971727920896,-0.4095518637257332,-0.35435789091815106,0.007585300538845434,-0.3404500790904693,-0.37023945340909137,-0.41739207711952275,-0.35006267209921793,-0.17661721458471316,-0.32645688091669817,-0.3316808563448818,-0.22217680801803102,-0.38114666639063693,-0.3391857317084796,-0.3760721424021361,-0.5819378828507901,-0.33252995570862925,-0.39834946115386016,-0.3448927836053001,-0.3981501956697948,-0.34627371099407916,-0.4229773780175223,-0.5797114339140034,-0.3526021551771451,-0.39051557993157693,-0.3964473580307254,-0.3615620755667769,-0.3911021397898609,-0.30664243627006466,-0.3671257525844981,-0.33873106740033965,-0.39187834180795206,-0.38320454984008173
ENSG00000162300.13,-0.40949086317923356,-0.43661533829670074,-0.7717927385857216,-0.3684891869746952,-0.4916663648182688,-0.41738990862720826,-0.4351744430735555,-0.42757359211228535,-0.4472163327694339,-0.43309292025149476,-0.40106464965677846,-0.4253226466806548,-0.5237773674317941,-0.4320543110972069,-0.49580204533237815,-0.46049035849959047,-0.4548709429951124,-0.4306643484669919,-0.47326123939798187,-0.5242081540219747,-0.4297296677343878,-0.44960152143950854,-0.3205503713898201,-0.4532032602295565,-0.466185858359111,-0.4657348893123921,-0.43287538586370966,-0.48436152848873093,-0.4883729528956752,-0.5669529435208681,-0.4422555235957895,-0.43495587550976667,-0.4142235103429525,-0.4489820320996066,-0.47174864601994276,-0.4180896356825701,-0.44072933922320373,-0.43676386062151507,-0.37711615088014566,-0.41340063371262964,-0.4422709774323619,-0.45206066365909053,-0.42866718939525117,-0.5224462838309983,-0.4725789147468759,-0.3986949472091988,-0.43536028109236485,-0.45293948301590886,-0.3964320495334439,-0.41180944737340314,-0.44629796532442223,-0.2922614042926029,-0.5454512551189274,-0.46862339553704924,-0.4520717974654425,-0.32880083864550236,1.0029565237214688,-0.39783968293530503,-0.41227268976069864,-0.40049987622457245,-0.4361407729041034,-0.45643195381383195,-0.472457912769666,-0.4601702523263679,-0.49984783531058896,-0.5293077716340553,-0.49628520725674713,1.0272334384261472,-0.4522777908725351,-0.46565276443665493,-0.5137231058478132,-0.44523521317553666,-0.3974225822312674,-0.43524640761143074,-0.4445406220493628,-0.3837173192850111,-0.4319113092446577,-0.4404668230020571,-0.47347474577005383,-0.6164685305244207,-0.43590588126528307,-0.46252905070042794,-0.41923067580183876,-0.465891572791055,-0.39600174885814776,-0.4807348469559061,-0.6185433312319605,-0.4221645018871597,-0.45560183346428046,-0.48861666575493273,-0.42233655053888197,-0.4987171064812012,-0.3927725912008664,-0.45512471992651965,-0.4584467167016685,-0.46049428810463744,-0.4637829805069142
ENSG00000138867.16,0.0053042676077052495,-0.1244672448166209,1.6635968162123156,-0.054178804884599835,-0.17203488728570082,-0.07074961298115676,-0.1097258331777526,-0.07067001404417562,-0.12389517181492783,-0.24139380036129202,-0.17477729195797292,-0.0863943509365991,-0.44510028944879604,-0.15716975589877646,-0.2212950618082907,-0.19053628207471593,-0.10486728970864276,-0.07599868072011427,-0.1903576899433842,-0.19218511720976308,-0.20048953467940736,-0.14687401271154785,-0.14252803763681102,-0.23382121541840775,-0.2921115930413772,-0.18282459912536259,-0.17569474413105884,-0.2354463421390203,-0.1541103222902348,-0.05483648202522552,-0.0558033397802829,-0.13905273559305567,-0.13000571794761115,-0.22095950413293497,0.02855110781725602,-0.15311550315211894,-0.136935165481747,-0.07836596066530997,-0.1515729581095535,-0.17969641163342,0.042638699360790684,-0.10280676381082497,-0.10496195779669336,-0.17277202035045763,-0.24802544077867794,0.0072337487978283484,-0.15731471847919165,-0.22778843717395014,0.009667706587771899,0.030853989374465252,-0.17891812305903726,0.06458331828235442,-0.4965537157647553,-0.045135401282736076,-0.11472969219668037,-0.07341629876226444,0.5302197152629118,-0.22441530849692315,-0.0713982134933333,-0.02579823968340263,-0.18670814642619268,-0.24273410608645726,-0.17312992077989386,-0.05971781721981773,-0.242721989316942,-0.058078280005354144,0.12568662088173527,-1.0969755150428246,-0.02831960443925997,-0.18242588328115053,-0.23178315856790335,-0.11902248187382958,-0.15474906631049085,-0.06525322732264546,-0.1309163727311337,-0.23597555566675685,-0.2234583246892663,-0.14030649789563676,-0.11329235289039194,-0.5494983768841029,-0.12256434525159136,-0.22706140342015657,-0.16624611628813704,-0.026327540267216683,-0.22805762098163676,-0.19021477819583493,-0.5055828333440197,-0.12458331584593474,-0.2315006847194056,-0.262571309037273,-0.10926763644588545,-0.14342505256786603,-0.1234291587293997,0.11423318205590871,-0.0827099597184716,-0.1747946417118136,-0.11827839242815454
ENSG00000111731.12,-0.12478716555877598,-0.17616055966045574,-0.8923938926456679,-0.1513500109523446,-0.19475541329388196,-0.1014475577151639,0.21376309019673817,-0.1812425511392871,-0.20983287050269836,-0.30016877994389835,-0.2648745056951858,-0.14540887286499607,-0.3912046416699793,-0.22566007560623272,-0.29740662153575037,-0.2350372441611372,-0.1639471902633921,-0.19116070930615928,-0.23795498754845368,-0.2923132431556104,-0.26782589779256194,-0.1963490387685081,-0.022481041366255037,-0.31139056943141596,-0.3410756282784706,-0.2467049693185045,-0.2675921970895125,-0.24885437892663753,-0.13118477750896762,-0.14420745541935145,-0.08647062061210573,-0.18828533348657364,-0.08651401430991301,-0.2808700806589728,-0.1872563917099926,-0.17312209122496822,-0.25444541183392916,-0.1932638440141466,-0.2021200175068562,-0.2104516726874553,-0.06940383745869114,-0.3082408810901143,-0.18269872507439966,-0.2013936483631189,-0.31455746331343104,-0.23920903302392107,-0.18041723345682575,-0.23959290422180415,-0.09074622477205972,-0.12731855378110057,-0.19879225926803068,-0.0635346007365454,-0.43353376004987765,-0.13476753516375026,-0.20813645190901064,-0.1328102446910325,-1.7187358033396385,-0.24582815037932418,-0.17465581031884905,-0.15660239868097503,-0.23522339980168058,-0.30565343684505036,-0.27753854141095063,-0.047195773291975544,-0.27587181448512765,-0.26536027364086684,-0.11145613581386304,0.6841026998743113,-0.17090336445562498,-0.1964867922746862,-0.27855660604291144,-0.2218311759523579,-0.27415859537620846,-0.1224765183640747,-0.11135701094569578,-0.28117834968844496,-0.2691143511265911,-0.17741928939062593,-0.16147555562026616,0.3272261885064801,-0.17312749225961277,-0.29679793173812075,-0.20606698039794763,-0.23720151510977253,-0.27498565671371955,-0.3345362537056218,-0.5134265451778033,-0.10327014110337446,-0.27832476704302883,-0.3766560845340154,-0.09339750237215198,-0.275867656761584,-0.125619752265212,-0.0886915199788831,-0.16195992606307785,-0.2597068752539618,-0.26434153796861765
ENSG00000143303.12,-0.36147870115448183,-0.3907058908479802,-0.7069696182785006,-0.34255786805339083,-0.470269364596972,-0.3686541204546057,-0.40546034457576535,-0.37945406208015353,-0.38470609457665,-0.41308441656379896,-0.3741068368207917,-0.3763759190741974,-0.5270533773948203,-0.3999075066266729,-0.46257023756405063,-0.419490507301956,-0.4029522425076053,-0.40176952788879045,-0.4332425406348846,-0.45965065911990327,-0.39352564399799883,-0.4081091680264905,-0.13968539473787253,-0.36101506642178904,-0.4419612579280524,-0.42489334115612104,-0.40466705497958,-0.448515552587142,-0.4367904771378241,-0.48700402623651057,-0.3951434689845834,-0.3245124394104934,-0.3562018470249398,-0.41493483271828163,-0.4320488577555412,-0.394552473243924,-0.41439234432223065,-0.4164343773117683,-0.34970267268146255,-0.37826453605496724,-0.3961511425089938,-0.4170796220171063,-0.39278949721237527,-0.49536719215671415,-0.4428827603391514,-0.37461608363721616,-0.3914202035858842,-0.41972600527671955,-0.32754957396416,-0.3739139422423821,-0.3833793584969259,-0.25969874381337227,-0.5279309641451199,-0.4073588784960368,-0.41400146661299275,-0.30246009500661697,2.7280311931842736,-0.36788789737869887,-0.3681082959377371,-0.36699864790056125,-0.389882042941429,-0.42655476657232694,-0.4478747459053637,-0.41906253236122926,-0.4572511687732313,-0.4835961937693131,-0.4411268002757418,-0.9675184818366552,-0.3837507562108238,-0.4391744293189579,-0.46258784878684206,-0.42344423997410946,-0.3779143060729684,-0.3706254287547596,-0.3972159593386192,-0.3825277720739141,-0.40894039766468915,-0.4051955058942238,-0.4078834181829348,-0.604994060645295,-0.4002331525498782,-0.4316910937822389,-0.3816828842733493,-0.4317692446423073,-0.379537736322071,-0.4463691529375677,-0.5797666713212835,-0.36834605812767957,-0.41404448652348075,-0.44830878413074315,-0.3899451999678772,-0.41781325324069474,-0.36041155033091204,-0.39840663550685734,-0.4015033179703248,-0.4367360166994101,-0.4330452571988835
ENSG00000146013.11,-0.07471600243354756,-0.10404296307762316,-0.03537194160717552,-0.0461999375241985,-0.1872554338348707,-0.049238644408421836,-0.09537980266288384,-0.10363701121512553,-0.03829056498253626,-0.17710177012950495,0.4972220848005049,0.13989724899306374,-0.5061820235981217,-0.14516716310690606,-0.18714440221226755,-0.05998169972179876,-0.0435495141328802,-0.04355720346444397,-0.08481183777835627,-0.10933938012580165,-0.14977269108317276,-0.1283647387788907,-0.3594654237934934,-0.1549590388385161,-0.15694018480295804,-0.17170796471596336,0.11410178018636676,0.9779353815730356,-0.11173900291771421,-0.0012138979887499684,0.009309075319167089,0.061532034381359714,0.01509752804904326,-0.26587681854609574,0.06921248264861536,-0.07100701726038021,-0.17009702949327118,-0.1160299587614926,0.1727399266366439,-0.048003099038670324,0.06009648998150065,-0.18119609803581696,0.23313465077264844,1.1810933994135553,-0.20834632382537788,-0.11628009794590441,1.0537100568385946,-0.20410285069481449,-0.05646370236891383,-0.018794614449365102,-0.05579542556917541,-0.08563455540446173,-0.5280371477267793,0.09491480790634856,0.019610565944363497,-0.10688431591260199,-0.13327054222278278,-0.16338543499723585,-0.08912617439409953,0.033629098458235133,-0.10590725037506712,-0.12607381776846216,-0.2033001710224467,-0.02594624420230389,-0.10368166043794588,-0.16256188655333617,0.04531659864491087,1.4316126658067079,-0.005926642128997474,-0.10317348713576759,-0.17331634922414324,-0.12460991089983652,-0.11014748331954098,-0.11290304001493824,0.2557744579694785,-0.09957414212762783,-0.10935398318628085,-0.1011161455535998,-0.1515280557018405,-0.5857448331377897,-0.06578793017902501,-0.2535026615302078,-0.1282773853927362,-0.11329418192066215,-0.23746562814510921,-0.14877379423254444,-0.08461855246186925,-0.12351230203977598,0.7419883479489338,-0.25226119535704966,-0.11547326579522996,-0.1905119512792719,-0.1092898731800658,-0.06749385206446387,-0.00267534024174052,-0.11792917621843556,-0.22291243264040236
ENSG00000144451.19,-0.2045266627226911,-0.24258466177622262,0.5397448118161924,-0.1614185816690415,-0.3121080330642934,-0.17729612919298454,-0.2942551668592012,-0.21738338965278184,-0.22648746327164612,-0.30612719464501353,-0.264744776085773,-0.2590741668608873,-0.5203956797280253,-0.2600731038906164,-0.34020980250924127,-0.2577023304411779,-0.15074372763941402,-0.24321311171959806,-0.22113419499675926,-0.2879240650319569,-0.30395189561572594,-0.2854742630129613,-0.35238797185793114,-0.4276451525611679,-0.3984741841268754,-0.2738521127675446,-0.28103522977648054,-0.305678915788444,-0.21592741625400888,-0.20046267278061525,-0.21002865063017453,-0.17356630937407858,-0.1847875929585267,-0.2920525553181602,-0.2183019008717737,-0.32149674213627993,-0.2799949218375309,-0.30026590125607255,-0.2592345050594289,-0.2713363609950076,-0.199425292977113,-0.27333934181549824,-0.2851458153748966,-0.2888634835046163,-0.2786061614879092,-0.17828073451181928,-0.2502683669774372,-0.28834382008177273,-0.17867454612086905,-0.19289425396434562,-0.24542376910474215,0.06690149534542252,-0.5161976783717517,-0.11748474339148024,-0.2756331780414638,-0.0948169745175507,1.7217376359976364,-0.2882609379627978,-0.2003665372392586,-0.16151022193863265,-0.21717121249917343,-0.35534325037170594,-0.3478659534346792,-0.2324967263656003,-0.3205296100484865,-0.25324775876887295,-0.24455298792580166,0.6465183999112302,-0.16576212310888105,-0.3090653688268258,-0.2799486729320486,-0.22266929030625893,-0.1777971506426748,-0.2274584116244916,-0.15823203315562465,-0.33161515143896014,-0.309340239834281,-0.27676447171309065,-0.23929401852378343,-0.5957179705093663,-0.2190842508749542,-0.26626530112605235,-0.2798997453541927,-0.2341818400523612,-0.3048336794406886,-0.3382182923504438,-0.5640792476537162,-0.1600338728297913,-0.29390682438866045,-0.38105990193511574,-0.23134559085922002,-0.2360578242146681,-0.24640111403522647,-0.2513979439706417,-0.20825446085844193,-0.24443982720294924,-0.3079718101833416
ENSG00000170892.12,-0.26442487655474006,-0.346061664391941,1.086972548363198,-0.2385476328195877,-0.353137332457708,-0.25549746285844793,-0.3044755415397286,-0.3047152175621615,-0.28744327280599496,-0.3630631573445596,-0.32922039196395125,-0.2726849104746549,-0.4870015136533075,-0.3108533041639142,-0.3802564279996451,-0.3338975595208268,-0.32865479180996604,-0.22673158951253727,-0.3583807715861345,-0.37662203961412305,-0.31612393807882233,-0.35398489306701447,-0.006955837841283312,-0.0872350259117744,-0.4147955292059066,-0.3396658106840603,-0.3547148023722671,-0.38840741487938846,-0.29678090008079944,-0.3740779125679638,-0.2829189992739274,-0.32857285985531964,-0.26568412523271023,-0.3653945958203171,-0.314460557567556,-0.2729739764935325,-0.3267190257482273,-0.30516675883967226,-0.2651378112664131,-0.3326680734457872,-0.2432000515484454,-0.347276543467874,-0.31717378770486565,-0.4016558805015523,-0.3625135935165436,-0.23355488692199802,-0.3031776561811169,-0.3671424702453698,-0.27041203662558355,-0.2560534291827139,-0.3272470420822566,-0.19783432525696024,-0.49368675905995046,-0.2895975111098107,-0.33572703743680915,-0.18371934120140515,-0.6723563764299089,-0.34555829773986474,-0.3223888178252346,-0.31290590025637754,-0.34640057256375556,-0.36338223931168717,-0.388651662095908,-0.2736044463307389,-0.3743766058527673,-0.3702651850539618,-0.3140449020573235,1.0133133273287096,-0.26390270792783743,-0.386400368291272,-0.4037498216059787,-0.21549875638955,-0.2753385314341701,-0.2794598053845737,-0.261199707842183,-0.23415158327640803,-0.362284082698221,-0.3342751333427304,-0.2701727161872297,-0.5554500878961727,-0.3192464170878779,-0.3556648435581886,-0.30709242845666385,-0.312693391545055,-0.32594569551586194,-0.40182370501883913,-0.5727515205967023,-0.3028000131907605,-0.3409646375724682,-0.40054031773292464,-0.32727851670236546,-0.35360384590695954,-0.2708959326629458,-0.21920040513846975,-0.2955751451334748,-0.3760109042268435,-0.35977784511938316
ENSG00000131148.9,-0.4138896382575246,-0.41067830794673466,0.5201471242814517,-0.3642147937459087,-0.44247532307240084,-0.4201908159934498,-0.4276826271380129,-0.41641395642398243,-0.4468832409140549,-0.44568650786669145,-0.39758789612451456,-0.40235062062718896,-0.5466565983026056,-0.4342366006957288,-0.4725244656974206,-0.465834159329844,-0.44133179911798226,-0.43848785584376127,-0.4776050704415513,-0.4599249827526316,-0.4303538750401876,-0.43898719847338763,-0.19675691755502214,-0.4795569510160272,-0.4632775918366394,-0.455343252799258,-0.4330957634487419,-0.46766989085516664,-0.4802876045129962,-0.5475545927066393,-0.436477630105736,-0.39739698639512405,-0.4161870184078599,-0.43729978203665654,-0.4573248475155754,-0.40251889745392727,-0.4424793056618066,-0.42650836234472317,-0.364165772888574,-0.4155731710487141,-0.45542946140767304,-0.4517426541896179,-0.40063741096210276,-0.46968797450049476,-0.45634080478350314,-0.39957231470777305,-0.4284748256480503,-0.42662471978520566,-0.3999237879263569,-0.4056582929173533,-0.4324345434810756,-0.30941591455930717,-0.5676967154765801,-0.4617102788281412,-0.4058365400647121,-0.32881969386643217,0.4030507492448206,-0.39347198705287034,-0.41529992051100495,-0.4111690572194805,-0.42581283882238063,-0.4445317182176393,-0.44277653232271,-0.4395531496976984,-0.4983019885410881,-0.47885651403679386,-0.4900142978783961,-0.3383294602324777,-0.438933413332542,-0.4603570974131155,-0.5004520681713724,-0.4518470041896449,-0.41080305712855236,-0.4344848809245676,-0.4402690372916234,-0.41515308691693603,-0.4020812763219924,-0.37440983152433455,-0.4793810738466191,1.0376781786859937,-0.43183511942989156,-0.4484840406188764,-0.41274820955140445,-0.4697164945304426,-0.3911857451911321,-0.4702663057108241,-0.6419639919187512,-0.3915870577213257,-0.44575397322184124,-0.45488860542415205,-0.4283387166308709,-0.491011977601153,-0.39566019177080075,-0.4443540129862202,-0.45654113052365103,-0.46126621750047514,-0.43776204338425906
ENSG00000079616.13,-0.3083190363785384,-0.34777875002486563,1.7502788956929023,-0.20245275666539125,-0.42008567851094075,-0.34568668005142517,-0.3824879427709102,-0.33983223628773856,-0.3851502170504886,-0.3967539466422238,-0.3654149529901318,-0.3593365148554349,-0.5077143508388919,-0.3648230046196671,-0.42872586191059275,-0.3803333460457881,-0.37016737344976147,-0.36859785661128835,-0.3975676729153567,-0.4433741235780213,-0.3810414978820026,-0.37600303409590985,-0.1485777648319878,-0.24237373393779071,-0.4204367994849006,-0.4132933748158784,-0.3744018666351492,-0.41303442122399153,-0.36402234169371256,-0.4228509089008822,-0.3133640534330559,-0.3395359950563504,-0.3283200325032552,-0.38738471358587007,-0.39674489379723255,-0.35997094996868234,-0.3902428074695112,-0.39519732778283645,-0.32387570802590643,-0.3556451144076681,-0.31954531500916206,-0.39919158935927346,-0.3604433662168768,-0.45979077602882684,-0.4033300100003523,-0.35219446978476265,-0.37012965056728026,-0.3997197332021098,-0.3097734512366029,-0.32371612819926154,-0.39540078722821953,-0.22814062672813787,-0.5375405782852991,-0.3742235949602364,-0.3605484141435823,-0.26734224602492473,0.8923748141405198,-0.36998334367911734,-0.3448857038805929,-0.3373383247347169,-0.37920695141158106,-0.4073118324167813,-0.4263644748990991,-0.3596144450270289,-0.41113340681645494,-0.4471533229370534,-0.3016310610430369,-1.3524095536808038,-0.3719830260171655,-0.39735692075376733,-0.4398507562642687,-0.3778135695950525,-0.3429095363534398,-0.35039057678953933,-0.35910892689457635,-0.34351062354993067,-0.39064940741749793,-0.38035921031360764,-0.39348026725938096,-0.5885866410985078,-0.36413192258864263,-0.4066543366803428,-0.3676235094185113,-0.3998613448689945,-0.3158656878407129,-0.42759797553259293,-0.41631918317927025,-0.34692578200450336,-0.37976396036309107,-0.4265487452076588,-0.35159237595635456,-0.3825408854786962,-0.33492100736873254,-0.353719659903487,-0.35868367561722775,-0.40971848784509024,-0.3985341049425523
