,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24,Sample_25,Sample_26,Sample_27,Sample_28,Sample_29,Sample_30,Sample_31,Sample_32,Sample_33,Sample_34,Sample_35,Sample_36,Sample_37,Sample_38,Sample_39,Sample_40,Sample_41,Sample_42,Sample_43,Sample_44,Sample_45,Sample_46,Sample_47,Sample_48,Sample_49,Sample_50,Sample_51,Sample_52,Sample_53,Sample_54,Sample_55,Sample_56,Sample_57,Sample_58,Sample_59,Sample_60,Sample_61,Sample_62,Sample_63,Sample_64,Sample_65,Sample_66,Sample_67,Sample_68,Sample_69,Sample_70,Sample_71,Sample_72,Sample_73,Sample_74,Sample_75,Sample_76,Sample_77,Sample_78,Sample_79,Sample_80,Sample_81,Sample_82,Sample_83,Sample_84,Sample_85,Sample_86,Sample_87,Sample_88,Sample_89,Sample_90,Sample_91,Sample_92,Sample_93,Sample_94,Sample_95,Sample_96,Sample_97,Sample_98,Sample_99,Sample_100,Sample_101,Sample_102,Sample_103,Sample_104,Sample_105,Sample_106,Sample_107,Sample_108,Sample_109,Sample_110,Sample_111,Sample_112,Sample_113,Sample_114,Sample_115,Sample_116,Sample_117,Sample_118,Sample_119,Sample_120,Sample_121,Sample_122,Sample_123,Sample_124,Sample_125,Sample_126,Sample_127,Sample_128,Sample_129,Sample_130,Sample_131,Sample_132,Sample_133,Sample_134,Sample_135,Sample_136,Sample_137,Sample_138,Sample_139,Sample_140,Sample_141,Sample_142,Sample_143,Sample_144,Sample_145,Sample_146,Sample_147,Sample_148,Sample_149,Sample_150,Sample_151,Sample_152,Sample_153,Sample_154,Sample_155,Sample_156,Sample_157,Sample_158,Sample_159,Sample_160,Sample_161,Sample_162,Sample_163,Sample_164,Sample_165,Sample_166,Sample_167,Sample_168,Sample_169,Sample_170,Sample_171,Sample_172,Sample_173,Sample_174,Sample_175,Sample_176,Sample_177,Sample_178,Sample_179,Sample_180,Sample_181,Sample_182,Sample_183,Sample_184,Sample_185,Sample_186,Sample_187,Sample_188,Sample_189,Sample_190,Sample_191,Sample_192,Sample_193,Sample_194,Sample_195,Sample_196,Sample_197,Sample_198,Sample_199,Sample_200
ENSG00000000001,5,4,4,5,5,3,5,4,6,7,2,5,5,6,4,6,6,1,7,2,11,4,3,8,3,3,5,8,3,2,5,3,8,10,3,2,5,7,6,6,2,4,9,7,11,8,3,2,3,4,5,5,4,3,8,2,1,4,5,4,3,4,8,2,2,2,7,6,7,6,7,6,4,2,3,4,7,4,3,2,6,3,5,9,6,6,9,4,9,2,10,6,9,4,1,6,8,6,2,3,6,7,4,5,2,4,8,7,5,6,5,3,3,1,7,2,8,7,5,4,7,6,2,4,5,5,4,2,7,1,4,8,4,5,3,6,9,7,3,2,3,6,6,6,3,5,6,6,3,5,6,7,4,8,6,8,5,9,5,11,5,5,4,9,7,6,5,5,6,5,6,6,5,5,10,6,3,7,5,5,6,7,2,4,2,3,4,1,3,3,8,3,4,4,10,6,2,4,4,4
ENSG00000000002,5,3,3,5,6,5,3,5,3,3,6,5,6,2,4,7,6,5,4,3,3,7,7,6,6,7,8,6,3,7,5,5,7,4,9,4,5,2,6,3,6,2,3,5,3,4,5,6,3,3,4,5,4,2,6,6,8,1,6,2,5,2,6,4,3,5,6,3,4,8,4,10,4,5,10,3,4,7,5,10,4,2,3,5,8,4,3,8,6,8,3,3,5,11,7,4,3,8,8,3,6,6,7,8,6,5,2,4,8,9,4,3,8,7,5,3,5,4,4,3,5,4,7,5,12,3,6,10,9,7,2,4,3,5,3,4,6,5,2,7,2,9,1,9,5,2,2,6,3,6,6,2,5,4,4,7,3,3,7,5,5,3,10,3,4,6,4,6,9,5,7,6,2,8,3,6,3,8,7,5,5,3,3,5,6,5,5,5,5,9,4,5,4,3,6,7,3,4,5,9
ENSG00000000003,3,6,2,7,5,5,6,1,10,2,5,4,5,4,5,6,1,3,2,5,4,7,7,2,6,7,2,7,5,7,6,5,6,5,4,7,1,8,4,5,3,7,2,5,10,7,7,10,1,5,3,8,7,3,1,5,3,6,3,4,5,8,7,5,4,6,8,4,3,2,3,9,5,4,7,8,4,4,8,5,5,6,7,2,1,7,5,4,4,3,8,7,1,2,4,6,4,6,8,7,3,5,6,7,3,2,7,3,8,5,6,8,1,2,5,7,6,10,3,8,6,10,10,4,2,0,2,4,6,6,7,5,8,4,2,5,7,4,4,4,9,2,7,6,2,7,1,7,5,4,3,5,5,8,2,5,8,3,3,7,2,6,10,8,5,7,4,4,2,10,6,7,10,8,3,6,5,6,5,6,7,5,6,8,5,6,6,4,9,6,2,5,5,4,10,8,5,8,4,4
ENSG00000000004,5,2,1,7,4,1,6,5,8,5,4,10,7,4,8,5,5,5,2,3,4,9,0,5,5,5,5,4,9,6,2,6,6,6,5,2,5,3,3,3,6,6,4,5,5,7,5,3,4,7,5,7,8,7,5,8,4,6,8,6,3,8,4,7,2,10,6,4,5,6,4,5,6,3,7,7,8,4,7,3,4,4,0,1,1,7,5,5,8,3,5,3,5,1,7,2,4,6,7,9,7,4,8,5,4,6,4,4,9,9,2,6,3,7,5,7,6,8,6,4,8,5,11,4,8,1,6,5,4,4,3,4,5,7,6,7,7,5,6,4,6,5,3,5,3,5,4,10,6,5,4,6,8,6,7,3,4,7,5,6,10,7,6,4,3,5,11,3,7,6,8,6,4,5,6,7,3,3,8,7,2,5,5,4,10,7,8,3,2,6,8,4,3,2,2,0,7,4,6,5
ENSG00000000005,4,1,4,6,3,4,2,6,8,7,2,6,9,3,8,7,6,10,5,5,5,5,4,10,3,2,6,4,4,8,5,4,7,4,2,2,3,3,8,6,0,8,5,4,5,7,6,3,4,2,4,1,9,3,1,5,4,6,5,8,5,7,4,1,5,4,3,2,12,5,10,6,1,6,2,4,5,8,4,2,1,8,8,4,1,9,4,2,4,3,8,9,4,4,5,11,8,6,2,8,7,7,1,5,2,8,4,9,3,2,5,7,3,3,6,8,6,6,4,1,5,8,5,5,7,2,9,6,6,4,10,5,5,4,4,5,1,11,7,3,3,2,4,5,9,5,6,7,2,8,7,5,6,6,3,6,3,5,3,10,5,8,5,5,4,6,7,5,4,6,6,5,5,5,7,4,4,3,7,3,3,2,6,9,6,7,4,2,5,4,5,5,8,5,5,4,6,8,8,0
ENSG00000000006,7,6,5,3,5,3,3,7,4,4,6,6,3,4,6,6,6,6,3,5,2,5,3,3,5,11,7,7,4,1,4,5,4,4,7,6,8,4,3,0,4,1,4,3,5,6,6,4,4,5,1,9,7,5,4,5,4,1,3,7,6,10,4,5,6,6,8,4,3,3,9,7,2,2,4,6,9,11,4,7,7,3,7,5,2,9,6,3,6,3,2,8,4,5,4,3,4,3,11,6,11,11,5,5,2,5,10,3,6,4,3,7,4,6,3,5,7,3,3,4,4,3,8,5,5,4,4,4,8,5,7,5,9,8,6,7,3,9,8,4,9,7,3,0,5,4,4,7,4,5,6,6,4,5,2,4,5,5,4,3,5,6,4,1,6,2,6,10,5,7,6,5,4,3,8,6,3,5,5,5,2,12,6,7,8,10,6,1,3,3,5,4,5,6,6,4,9,3,7,2
ENSG00000000007,5,5,5,3,6,4,5,3,7,3,6,7,1,6,4,2,2,5,5,3,5,11,2,6,5,3,4,10,1,8,3,5,4,11,3,4,3,3,8,1,5,7,3,7,5,7,5,7,5,4,5,11,7,6,3,0,10,5,5,3,4,2,2,7,3,1,3,7,5,5,4,5,5,3,3,6,6,4,9,6,5,5,4,10,6,2,4,3,2,5,6,5,10,5,5,4,4,3,6,4,6,6,2,7,1,10,9,7,6,4,9,2,5,7,4,7,3,7,1,5,9,7,4,2,3,4,11,6,3,6,6,7,5,7,3,7,4,6,7,5,7,5,5,5,2,3,5,4,5,2,8,3,4,4,4,3,3,3,7,6,3,5,6,4,2,5,6,5,6,4,6,4,8,6,7,6,4,4,5,2,5,3,5,5,5,7,3,6,3,3,4,2,5,2,6,4,8,5,7,6
ENSG00000000008,2,9,5,9,5,5,1,5,8,6,2,5,5,4,6,5,6,5,4,7,5,7,6,4,8,4,3,5,10,6,4,3,3,5,2,6,2,5,2,6,3,5,2,6,6,7,6,6,4,4,7,5,5,8,4,2,3,4,6,9,3,5,3,2,4,9,4,5,8,8,5,3,9,2,8,7,6,9,3,6,7,7,5,5,1,7,4,7,5,5,3,5,5,4,3,3,5,10,2,5,3,3,3,4,4,9,4,4,9,0,5,9,3,4,8,7,2,8,6,6,8,3,6,5,6,5,8,6,5,4,10,10,4,4,6,8,8,9,9,6,9,5,4,7,7,10,10,3,4,5,3,4,6,4,4,2,10,3,7,6,9,4,4,5,3,2,3,8,4,9,4,9,7,8,5,4,4,7,8,7,4,3,8,6,4,6,6,3,9,8,3,8,3,6,5,4,4,3,4,6
ENSG00000000009,3,4,6,3,4,4,5,8,5,6,3,4,5,6,7,5,2,6,4,2,4,2,3,4,7,5,5,7,9,7,6,6,9,2,3,9,3,8,5,4,9,2,5,10,5,4,7,3,6,3,3,4,1,2,4,5,8,7,7,2,6,8,6,4,4,4,1,6,8,7,7,6,6,4,3,6,3,10,5,6,6,4,6,5,3,2,3,2,8,7,4,3,3,6,5,1,8,9,4,7,6,6,6,4,7,3,4,6,1,2,5,6,2,5,8,8,5,5,6,3,7,5,3,5,6,4,3,4,7,13,3,3,5,7,3,3,6,1,2,9,9,7,6,7,11,6,2,8,5,8,6,9,3,4,3,7,3,6,5,7,5,6,6,2,5,5,9,6,7,6,4,6,6,5,7,7,5,5,7,5,4,8,4,8,8,5,9,5,3,6,6,8,12,4,4,8,5,6,5,3
ENSG00000000010,3,7,5,6,8,2,4,9,4,4,3,4,4,6,7,3,6,8,7,3,4,6,8,3,4,3,8,1,3,7,5,9,5,4,5,7,3,6,7,4,4,4,3,4,2,7,6,7,5,4,5,4,7,5,6,5,2,4,4,6,11,6,8,5,3,5,1,8,6,4,7,1,7,3,9,4,2,4,6,2,1,7,7,6,8,7,5,6,6,7,6,3,3,1,5,3,9,8,4,2,6,2,2,6,5,4,8,4,4,4,4,5,7,8,9,2,7,6,5,6,3,6,6,6,2,8,4,3,1,6,10,10,8,4,4,6,5,4,6,7,3,7,5,4,6,6,4,7,7,5,4,7,9,5,9,7,2,1,2,7,3,9,9,5,7,4,4,6,4,3,4,6,4,5,4,6,3,6,4,6,6,3,1,4,10,8,6,4,7,8,8,1,4,5,4,9,7,6,6,7
