sample_id,label
Sample_107,0
Sample_97,0
Sample_95,0
Sample_36,1
Sample_70,0
Sample_52,0
Sample_68,1
Sample_116,1
Sample_21,0
Sample_63,1
Sample_73,1
Sample_187,2
Sample_179,0
Sample_184,0
Sample_7,2
Sample_128,0
Sample_66,1
Sample_193,0
Sample_110,1
Sample_17,1
Sample_146,2
Sample_158,0
Sample_42,2
Sample_71,2
Sample_157,2
Sample_164,1
Sample_199,1
Sample_173,2
Sample_155,0
Sample_134,1
Sample_22,0
Sample_45,0
Sample_103,2
Sample_145,0
Sample_188,2
Sample_31,1
Sample_115,0
Sample_141,2
Sample_61,1
Sample_58,0
Sample_181,0
Sample_111,2
Sample_133,0
Sample_113,0
Sample_34,1
Sample_80,1
Sample_167,1
Sample_98,2
Sample_43,2
Sample_44,0
Sample_112,1
Sample_182,2
Sample_102,2
Sample_67,1
Sample_24,1
Sample_106,2
Sample_124,2
Sample_192,1
Sample_11,2
Sample_198,2
Sample_153,2
Sample_183,1
Sample_93,0
Sample_186,0
Sample_200,0
Sample_29,2
Sample_90,0
Sample_101,2
Sample_144,1
Sample_136,2
Sample_10,2
Sample_143,1
Sample_154,2
Sample_54,0
Sample_149,0
Sample_99,0
Sample_16,0
Sample_170,1
Sample_123,1
Sample_12,2
Sample_81,2
Sample_64,1
Sample_156,2
Sample_100,0
Sample_194,0
Sample_139,2
Sample_174,1
Sample_38,2
Sample_119,2
Sample_77,1
Sample_30,2
Sample_3,2
Sample_92,0
Sample_118,2
Sample_26,0
Sample_2,0
Sample_177,2
Sample_163,1
Sample_60,2
Sample_196,1
Sample_47,1
Sample_57,2
Sample_91,0
Sample_104,0
Sample_50,1
Sample_46,2
Sample_142,2
Sample_8,1
Sample_152,0
Sample_150,0
Sample_13,0
Sample_19,1
Sample_75,1
Sample_65,1
Sample_23,1
Sample_129,2
Sample_72,1
Sample_140,0
Sample_56,2
Sample_96,0
Sample_189,1
Sample_138,2
Sample_126,0
Sample_169,0
Sample_40,2
Sample_28,2
Sample_190,2
Sample_76,1
Sample_171,1
Sample_191,0
Sample_197,2
Sample_51,1
Sample_94,2
Sample_162,2
Sample_127,2
Sample_160,2
Sample_87,2
Sample_41,0
Sample_27,0
Sample_178,1
