Sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Sample_10,0.5762199,0.74298096,0.40471828,0.32988822,0.3937219,0.78795797,0.39431202,0.8343159,0.2969384,0.6262777,0.4952836,0.39822233,0.35268116,0.7616238,0.6175655,0.8305238,0.62515503,0.46274823,0.43671665,0.48689792,0.5324291,0.36390674,0.6767303,0.42219102,0.38289937,0.2041814,0.3796484,0.23479393,0.7533477,0.4132315,0.69650847,0.4193125,0.297256,0.6394713,0.43371266,0.3356376,0.55593204,0.49436092,0.2384677,0.63719124,0.6254217,0.5682249,0.29938352,0.33190206,0.61977714,0.62397903,0.5128778,0.4571085,0.40436468,0.40429866,0.6005223,0.35626277,0.51947474,0.40916523,0.7098031,0.39149693,0.72967976,0.28633356,0.6921429,0.39415836,0.7289527,0.69702744,0.25717115,0.81184584,0.20885178,0.54493135,0.5016382,0.6912473,0.36131132,0.5124238,0.32329652,0.45326924,0.46881294,0.51900876,0.7185802,0.39590672,0.4900059,0.52442634,0.35535285,0.45380837,0.4511053,0.46041664,0.49045056,0.3280849,0.73070675,0.62566483,0.60609907,0.23660341,0.48167187,0.41266716,0.53803486,0.5659926,0.73950416,0.5222511,0.71485025,0.66977936,0.33406657,0.4036429,0.2811012,0.65054876
Sample_100,0.3410579,0.39833692,0.5445864,0.5967764,0.35480857,0.26810306,0.43461,0.5697076,0.3450588,0.7673181,0.22355437,0.47423923,0.29497275,0.37448353,0.3328675,0.77957654,0.6409891,0.52527434,0.29605722,0.2682538,0.6755371,0.6404227,0.29274607,0.623318,0.5209024,0.7665519,0.62900555,0.6380082,0.66428745,0.469485,0.6420109,0.30316085,0.23231496,0.62831587,0.34846455,0.5396141,0.36314636,0.5612828,0.5618474,0.37725934,0.5363766,0.5510284,0.45519286,0.4753528,0.37832686,0.5541665,0.53564686,0.65533686,0.72100747,0.52247655,0.65737873,0.7286853,0.6305313,0.50582504,0.64594334,0.19531666,0.49393177,0.53559744,0.6551467,0.60714966,0.6270647,0.4316254,0.48437518,0.50952005,0.6021534,0.39200005,0.28109494,0.54085505,0.66891336,0.63068825,0.6445122,0.35715172,0.40422314,0.6455296,0.51230836,0.4316692,0.6459439,0.63756204,0.5345181,0.34182453,0.6793454,0.68378687,0.67565364,0.32208195,0.45878804,0.44515574,0.71175694,0.6011119,0.29934448,0.5666952,0.7132821,0.43795907,0.7052423,0.25391963,0.3744704,0.40819278,0.46047002,0.5518966,0.34406966,0.43031347
Sample_101,0.63221186,0.30564135,0.4970219,0.4205284,0.37716687,0.68890756,0.6635102,0.44823253,0.8017118,0.26998478,0.6552852,0.58357805,0.7239376,0.75854117,0.69236934,0.29857412,0.63118124,0.7224923,0.22626805,0.42505753,0.4262997,0.70423645,0.72045374,0.572058,0.3288887,0.7193439,0.7713805,0.76011163,0.3179075,0.555719,0.6255665,0.71879107,0.59612304,0.5592886,0.7769329,0.646287,0.62664765,0.48517114,0.48606747,0.64449036,0.68547386,0.5753073,0.6385374,0.77025044,0.27559918,0.6552162,0.7487378,0.47546118,0.5750178,0.5863937,0.5578218,0.5997453,0.7650334,0.45906854,0.5189792,0.6944137,0.71731853,0.7660104,0.55282575,0.44801915,0.5558672,0.29863748,0.7622904,0.6138195,0.6354707,0.5326267,0.23035386,0.5984231,0.6501773,0.6194365,0.3571055,0.5667129,0.5008145,0.5188849,0.6894502,0.8255243,0.26413542,0.5411177,0.404695,0.6478329,0.55911624,0.5172797,0.5361372,0.61676073,0.4681865,0.6079031,0.6223727,0.41758376,0.49475104,0.78707755,0.4266884,0.5609864,0.65901417,0.7573153,0.37677485,0.5158371,0.60866964,0.49074733,0.5690362,0.63177127
Sample_102,0.348283,0.6891899,0.7217268,0.77185875,0.6602001,0.5556499,0.65635806,0.2627979,0.76590025,0.34254026,0.30454725,0.6721624,0.3977217,0.6086038,0.55582345,0.5831167,0.33701915,0.601631,0.74458414,0.32358706,0.48163262,0.7463714,0.61590725,0.3828434,0.67425525,0.7677543,0.48792875,0.5260658,0.5520578,0.6488862,0.5896399,0.7230633,0.62094665,0.61896205,0.7145337,0.40586132,0.31771815,0.4927773,0.68029064,0.76056975,0.49771145,0.44440863,0.7964837,0.69502515,0.26584154,0.69385266,0.5331483,0.5345593,0.3829803,0.50655925,0.715313,0.50397617,0.53067607,0.66445756,0.7461422,0.7394264,0.4377843,0.5778389,0.55541086,0.72028947,0.33580154,0.6749205,0.39666265,0.7048908,0.593957,0.6252906,0.31895098,0.66008705,0.39281076,0.49560407,0.69332486,0.43878502,0.71920115,0.6819565,0.81451774,0.64285964,0.36945271,0.32549033,0.60029197,0.79973364,0.6475643,0.70207834,0.3796512,0.6564671,0.4668746,0.5347873,0.32154298,0.8006986,0.37805045,0.4088307,0.57429326,0.43270776,0.4734286,0.7463107,0.24343534,0.4691867,0.6252134,0.62250894,0.56240547,0.818935
Sample_103,0.6482557,0.6022326,0.7298011,0.6869365,0.7021555,0.76414526,0.56043476,0.4024017,0.8316569,0.5910162,0.2475421,0.62028867,0.27919745,0.8167637,0.51145005,0.2745703,0.7607235,0.6086352,0.7412518,0.45398474,0.72743547,0.7228144,0.69911665,0.25042075,0.71758324,0.5332477,0.55399984,0.6228887,0.7553768,0.5445945,0.3455868,0.5962676,0.7587954,0.48211184,0.43826038,0.32071444,0.42005306,0.51962304,0.77025735,0.6198255,0.26164827,0.6474825,0.5873005,0.50847924,0.5869902,0.7137793,0.6308237,0.30513033,0.6915195,0.43837702,0.69281673,0.5987908,0.7513616,0.5197579,0.53024554,0.7209496,0.5160798,0.6644255,0.6374457,0.5470227,0.7808091,0.3371008,0.28103256,0.59673744,0.39228404,0.6132043,0.7842592,0.39073962,0.40146425,0.6260983,0.4159588,0.5921411,0.83197606,0.22881138,0.6558134,0.20887327,0.6210605,0.39178485,0.4152438,0.73536485,0.8139962,0.6921705,0.53983665,0.763716,0.4624461,0.70648277,0.34240228,0.6717211,0.54947174,0.47185877,0.46171063,0.57596886,0.37890685,0.6919831,0.67758155,0.30886096,0.6502478,0.42350745,0.24089608,0.54444814
Sample_104,0.5787839,0.55859303,0.39999807,0.66062224,0.720679,0.3991189,0.36433378,0.480253,0.35124278,0.25760937,0.28058758,0.6761037,0.5819807,0.41649,0.7000342,0.76520944,0.6108334,0.48372135,0.7334945,0.5592706,0.28023386,0.31568006,0.42902547,0.7451492,0.30234995,0.4562974,0.71781975,0.6319274,0.7047126,0.4718787,0.24396116,0.6114988,0.51344675,0.4343372,0.7344604,0.46100354,0.6010468,0.6286927,0.6895546,0.54404265,0.30522618,0.5529653,0.57281923,0.69994086,0.6193508,0.708536,0.548234,0.25091738,0.4891165,0.35961205,0.6348747,0.7126602,0.62875396,0.68101346,0.56374085,0.5755737,0.4965604,0.32250553,0.6008037,0.65811604,0.2881477,0.6040791,0.48859948,0.5764822,0.57227755,0.7315935,0.7891034,0.77235454,0.72058845,0.35634416,0.3335833,0.68184143,0.5039323,0.45694166,0.7124873,0.6712117,0.2667985,0.40934265,0.41228896,0.78158444,0.6217451,0.3822807,0.6740681,0.6522876,0.52178186,0.2702379,0.68186545,0.8026391,0.38782668,0.57921875,0.33769804,0.533152,0.43111908,0.57041377,0.6672358,0.67966133,0.59229696,0.3095395,0.7363068,0.7088073
Sample_105,0.743945,0.30348587,0.76980305,0.8141997,0.55052745,0.7345029,0.47363517,0.7585212,0.71566594,0.5765152,0.33201468,0.630701,0.7006257,0.48894566,0.49741805,0.28994295,0.6318079,0.22725607,0.765786,0.4261489,0.5493535,0.7541388,0.5963361,0.4621987,0.83346933,0.7637471,0.6021774,0.6513177,0.7069731,0.57741207,0.5359495,0.82840496,0.737241,0.25860876,0.4043292,0.5605477,0.4165471,0.32377622,0.29013747,0.6111282,0.47163165,0.7556089,0.4210601,0.674454,0.5703237,0.5077568,0.30386502,0.35657778,0.5228553,0.3510513,0.62645346,0.7262937,0.5100157,0.52350944,0.4462586,0.5495459,0.45046103,0.5078823,0.716437,0.7079812,0.7323545,0.37745965,0.48410147,0.39483964,0.22038512,0.50888956,0.77649784,0.6583961,0.35536385,0.72835857,0.5696403,0.81412035,0.82656837,0.33556044,0.75588536,0.6555575,0.7272477,0.5584818,0.30735946,0.75638616,0.34311983,0.22342488,0.2697926,0.5267465,0.5416313,0.25459605,0.36410186,0.5481552,0.6645349,0.59324026,0.25435883,0.59148145,0.79149354,0.81833136,0.7018086,0.6651983,0.44840854,0.5505114,0.7477128,0.50522596
Sample_106,0.7367711,0.3943587,0.77242315,0.77646476,0.6486782,0.70948213,0.62968624,0.65838456,0.79246616,0.35212478,0.7827892,0.6951746,0.5554452,0.5948023,0.7710633,0.6089172,0.6619078,0.5125128,0.47644728,0.77175933,0.29771426,0.64933705,0.7889715,0.30190957,0.23878512,0.55492425,0.6281731,0.6433044,0.67448735,0.6493048,0.6904576,0.54711664,0.39640033,0.6025024,0.5419265,0.49544066,0.2743861,0.5551555,0.7643904,0.67517924,0.7852229,0.48965168,0.67057836,0.60155064,0.26870996,0.5931705,0.32835513,0.70740145,0.73014414,0.4051934,0.51144373,0.42550752,0.6872207,0.20804438,0.488499,0.6807651,0.53849053,0.52188563,0.23875165,0.6138973,0.56483316,0.27560526,0.52425516,0.7792973,0.44656852,0.35401332,0.7173961,0.6351353,0.7201549,0.319637,0.32697198,0.41255265,0.63399255,0.30937165,0.28002816,0.57323617,0.8354142,0.3128108,0.58663493,0.65385014,0.49269444,0.43051526,0.48173147,0.78496855,0.39657247,0.67469275,0.4663211,0.48205304,0.2847122,0.60769296,0.679022,0.8441871,0.78728956,0.45707303,0.72850525,0.68037766,0.4129249,0.5788824,0.349568,0.3487159
Sample_107,0.719358,0.18450014,0.60349154,0.661822,0.76065946,0.55745566,0.3985571,0.23170984,0.76982254,0.54811263,0.5099051,0.43712416,0.69439554,0.30004323,0.6010278,0.40095645,0.48378736,0.26079738,0.5862554,0.67563117,0.6575276,0.808201,0.6191876,0.38789478,0.3460544,0.56003034,0.5872107,0.6787214,0.810972,0.35973984,0.48826838,0.41267848,0.67695373,0.26214287,0.6470721,0.34130174,0.80095243,0.73074675,0.74893844,0.704355,0.4661012,0.31834245,0.7066763,0.74478596,0.37554592,0.6216204,0.5037489,0.7001604,0.5143255,0.7490029,0.42077553,0.6926913,0.6811659,0.3332536,0.6537741,0.59641206,0.66034424,0.73583937,0.5921554,0.5715507,0.4525512,0.47664344,0.2811282,0.6940376,0.26648113,0.3733054,0.7197963,0.5408922,0.46820152,0.55125475,0.7586384,0.68100494,0.6066673,0.70020556,0.7794406,0.6622441,0.63314056,0.3572415,0.33258444,0.57389295,0.4964531,0.3897031,0.72453773,0.42894703,0.6189898,0.70864975,0.37057346,0.66050404,0.58250296,0.42347988,0.54324126,0.7354237,0.7233688,0.3950659,0.60646707,0.36478713,0.35477722,0.6777801,0.74212253,0.3220338
Sample_108,0.58981717,0.80469924,0.46276915,0.41071028,0.48861033,0.77456427,0.5875597,0.36529455,0.6607488,0.44474638,0.720226,0.6977186,0.62106997,0.58955157,0.60286146,0.6921936,0.6058418,0.7233312,0.6265295,0.5094147,0.7730236,0.741136,0.64706963,0.26159328,0.6965816,0.6641172,0.6296463,0.5651585,0.3554786,0.739568,0.4890736,0.56937426,0.79456425,0.52408403,0.36813945,0.3270356,0.40740916,0.39411232,0.6760616,0.43985426,0.6732313,0.63971287,0.7899219,0.57767344,0.7067136,0.75266856,0.31185007,0.6551236,0.7126355,0.6450462,0.42899668,0.5245839,0.3990812,0.69973356,0.5315762,0.4672738,0.39166623,0.5386231,0.43671435,0.81085545,0.6728535,0.29394376,0.34375837,0.2875387,0.6322266,0.60880756,0.7103383,0.36703306,0.4431097,0.5539328,0.54480195,0.47311705,0.378419,0.4721818,0.67523146,0.8350427,0.33278683,0.35748702,0.19609568,0.73310286,0.581113,0.72750604,0.58268136,0.54409975,0.58768034,0.55710906,0.37298736,0.680973,0.48699832,0.7793727,0.3752799,0.31507367,0.64218277,0.49949116,0.46766222,0.6775899,0.45899928,0.6148538,0.724661,0.5410549
