epoch_10,epoch_20,epoch_30,epoch_40,epoch_50,epoch_60,epoch_70,epoch_80,epoch_90,epoch_100
10.22,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.11
3.226,10.22,2.247,2.247,10.20,10.20,10.20,10.20,10.20,2.247
8.11,2.247,10.20,10.20,2.247,2.247,2.247,2.247,2.247,10.20
11.15,7.196,3.205,7.196,3.205,3.205,2.171,3.188,2.171,4.413
4.87,2.171,10.22,3.205,7.196,2.171,3.205,2.171,3.188,2.171
7.196,11.15,7.196,4.209,2.171,7.196,2.268,3.205,2.268,2.268
7.61,6.161,4.209,2.171,4.209,2.268,4.209,4.209,3.205,4.209
7.64,10.20,2.268,10.22,3.188,4.209,3.188,2.268,4.413,3.205
6.136,4.209,2.171,3.188,2.268,3.188,7.196,4.413,4.209,3.188
2.171,3.205,3.188,2.268,4.329,4.329,4.413,7.196,4.329,7.196
3.340,3.226,6.161,4.329,4.413,4.413,4.329,4.329,7.196,4.329
0.1,2.268,4.329,4.413,10.22,10.22,6.500,6.500,6.500,2.124
2.268,7.302,7.302,6.161,6.161,2.124,10.22,2.124,7.15,7.15
6.161,3.188,11.15,7.302,2.124,6.500,2.124,7.15,2.124,6.500
10.31,4.413,4.87,4.87,7.302,6.161,6.161,6.161,6.161,6.161
7.252,4.87,4.413,6.500,6.500,7.15,7.15,10.22,4.354,4.248
10.20,3.340,3.340,2.124,9.105,7.302,7.302,4.248,10.22,10.22
2.247,4.329,2.124,11.15,3.340,3.176,4.354,4.354,4.248,4.521
7.302,0.1,7.15,3.176,7.15,3.340,6.24,5.419,5.419,5.419
11.21,7.61,6.500,3.340,3.176,5.419,6.432,3.176,7.311,4.354
7.273,7.64,0.1,7.15,6.24,9.105,3.176,4.201,4.521,3.176
7.310,11.21,11.21,6.211,5.419,11.15,4.248,6.24,3.176,7.311
5.486,2.124,6.211,9.105,4.354,6.24,11.15,4.87,7.302,6.432
6.431,4.492,5.486,6.432,3.226,4.87,5.419,7.311,4.98,4.98
5.4,7.15,3.226,4.98,4.248,4.248,4.87,7.302,6.24,7.10
6.164,6.136,4.98,3.226,4.492,6.432,4.521,6.432,6.432,7.302
2.70,6.500,9.105,5.419,5.486,11.21,4.238,4.521,8.130,6.24
1.87,5.66,7.252,0.1,4.98,4.521,3.340,3.340,4.87,8.186
9.105,10.31,3.176,11.21,4.87,6.211,11.21,11.21,11.21,8.130
4.492,5.486,2.70,5.486,6.432,4.98,9.105,4.98,9.105,11.21
3.205,2.70,4.492,9.20,11.21,4.354,7.311,11.15,11.15,4.492
7.258,7.273,6.432,4.492,11.15,4.270,6.211,1.18,3.340,9.105
3.188,9.20,5.419,6.24,6.111,5.486,5.486,9.105,4.270,3.340
4.209,7.252,7.64,4.248,6.211,3.226,4.98,4.238,4.492,4.242
6.111,4.98,4.248,5.205,5.205,9.20,8.111,8.111,4.238,4.238
4.201,7.258,6.136,6.111,7.252,8.111,4.270,5.486,4.201,7.61
2.124,6.432,9.20,8.130,9.20,4.201,8.186,6.211,8.111,8.111
6.432,7.311,4.201,4.354,4.201,4.238,3.226,8.130,1.18,6.111
5.260,4.238,6.111,10.31,0.1,7.61,1.87,4.492,10.40,11.15
3.408,9.105,10.31,7.252,6.136,7.311,9.20,4.270,7.10,4.87
7.167,5.419,7.311,7.64,4.270,8.186,4.201,10.40,5.486,4.270
5.13,10.40,8.130,6.136,4.238,4.492,1.18,7.10,7.27,2.208
9.34,6.111,7.61,2.70,10.31,7.252,8.130,1.87,6.211,1.18
7.85,6.211,5.205,7.311,8.186,1.18,7.61,6.111,2.208,7.27
7.15,4.201,4.238,4.238,6.431,8.130,10.40,0.1,8.186,5.486
6.211,5.4,8.111,8.186,7.61,6.136,0.1,5.205,7.61,4.201
7.132,9.2,7.258,7.61,2.70,1.87,4.492,4.242,1.87,1.87
10.40,4.270,4.521,4.201,8.130,10.31,10.31,7.258,4.242,8.178
5.66,4.242,4.354,8.111,4.521,2.208,7.10,10.31,7.14,3.226
6.500,1.87,6.24,1.87,10.40,6.111,9.2,8.186,6.111,7.252
2.263,5.205,10.40,7.125,4.242,10.40,7.27,7.27,4.278,4.278
4.98,8.130,7.273,4.270,7.311,0.1,4.278,2.208,5.205,10.40
9.20,6.431,9.2,4.521,8.111,5.205,2.208,3.226,7.252,5.78
4.174,4.248,6.483,10.40,2.208,6.483,7.252,7.14,3.226,7.125
4.413,4.354,5.66,5.531,6.483,7.27,8.131,7.252,9.20,7.258
8.171,6.424,6.424,6.483,7.125,7.10,6.136,4.278,7.125,5.66
9.21,4.521,7.74,7.258,1.87,6.431,2.70,7.61,5.125,6.211
4.329,9.21,4.242,2.208,1.18,7.64,6.431,3.12,3.12,7.14
6.169,8.111,1.18,4.242,7.64,4.278,6.424,5.66,8.178,0.1
4.242,7.74,4.270,3.388,3.388,4.4,6.111,7.125,0.1,5.205
4.238,7.308,8.131,8.131,3.12,7.258,7.64,5.125,10.31,4.4
9.2,7.10,6.431,1.18,5.531,5.66,5.66,6.136,5.66,4.180
4.493,9.14,2.35,2.35,2.35,7.125,7.14,9.20,6.424,4.389
7.308,2.208,5.531,6.424,7.273,5.531,5.205,6.424,8.131,6.424
5.466,5.466,3.388,7.74,5.66,2.70,5.531,8.131,6.136,8.131
5.38,1.18,5.4,5.66,5.125,3.12,4.242,4.4,5.466,8.141
