,CPT000814,CPT001846,X01BR001,X01BR008,X01BR009,X01BR010,X01BR015,X01BR017,X01BR018,X01BR020,X01BR023,X01BR025,X01BR026,X01BR027,X01BR030,X01BR031,X01BR032,X01BR033,X01BR040,X01BR042,X01BR043,X03BR002,X03BR004,X03BR005,X03BR006,X03BR010,X03BR011,X03BR013,X05BR001,X05BR003,X05BR004,X05BR005,X05BR009,X05BR016,X05BR026,X05BR029,X05BR038,X05BR042,X05BR043,X05BR044,X05BR045,X06BR003,X06BR005,X06BR006,X06BR014,X09BR001,X09BR004,X09BR005,X09BR007,X11BR003,X11BR004,X11BR006,X11BR009,X11BR010,X11BR011,X11BR012,X11BR013,X11BR014,X11BR015,X11BR016,X11BR017,X11BR018,X11BR019,X11BR020,X11BR022,X11BR023,X11BR024,X11BR025,X11BR027,X11BR028,X11BR030,X11BR031,X11BR032,X11BR036,X11BR038,X11BR040,X11BR042,X11BR043,X11BR044,X11BR047,X11BR049,X11BR050,X11BR051,X11BR053,X11BR054,X11BR055,X11BR056,X11BR058,X11BR059,X11BR060,X11BR072,X11BR073,X11BR074,X11BR075,X11BR080,X13BR009,X14BR005,X14BR008,X14BR014,X15BR003,X16BR012,X18BR002,X18BR003,X18BR004,X18BR006,X18BR007,X18BR009,X18BR010,X18BR016,X18BR017,X18BR019,X20BR001,X20BR002,X20BR005,X20BR006,X20BR007,X20BR008,X21BR001,X21BR002,X21BR010,X22BR005,X22BR006
CPT000814,0.5597713085393117,0.009182867132553185,0.009373552841235151,0.00949466447328389,0.00885329486007845,0.007415028071201785,0.007244959722452694,0.008499916643365066,0.009298977441845022,0.009345717455914535,0.007162782194324776,0.00704875058325953,0.0077894238045526,0.010135847979265908,0.007181501355252316,0.00850792972529468,0.007007946548992936,0.007670847021518098,0.010188866777304937,0.010875134120644024,0.009653336371140811,0.006935822527512311,0.006991797653595943,0.0068860411907269254,0.009591503200402996,0.0070758649893912255,0.007023792022323813,0.006920681930532196,0.008024148862313743,0.007089166048543875,0.0070305462587495204,0.007149281458001904,0.007112225729701646,0.00764830599577145,0.007172195918448204,0.009761528501562314,0.007336284660548279,0.010159993705186856,0.008783997688192147,0.007250144625338667,0.010295681860611637,0.007340112431140948,0.007528226265689972,0.00711497490956302,0.006906177604810127,0.008293512590968562,0.007751840042073341,0.007286566229142633,0.007053458021036065,0.008967567703883468,0.007430346572470187,0.007823296172582527,0.0072882962191393105,0.007134996058965835,0.0071021839176834516,0.0071874341648235735,0.0070306739932885064,0.007013065896143634,0.007088362235309703,0.009266115234861573,0.007807095017112227,0.007029250878761235,0.007409504413514843,0.0073241160125325925,0.007095557087845944,0.00939987324685502,0.009428039908587645,0.007037823801368381,0.007138156521573215,0.007295985474228259,0.007470568761071207,0.007248729572319746,0.00713620341538151,0.008477835742236324,0.0071748231358548815,0.006880642112841778,0.007223285988436709,0.007894316337461873,0.007752506907167833,0.006920597491758506,0.007219546015268253,0.007011751815630248,0.007001253535143668,0.00705323758296918,0.006969674051397526,0.007174425182932612,0.007051733651870763,0.007653364755604117,0.007270096106885013,0.007305422455123027,0.007365923470507019,0.007351258741072651,0.006859687725646893,0.007761945028700865,0.008794202420934615,0.0072038732998199045,0.006930180324832427,0.006909142591468902,0.0068974607672087455,0.007156069376251103,0.007580701842169557,0.007398979023825395,0.0072261690220316085,0.006960769598977134,0.007403772369673735,0.007180444833047981,0.007260669182673714,0.00695552290737759,0.006914770956276413,0.00725067433701668,0.006888539750108153,0.007443245155167527,0.009485198066746258,0.008048203422759786,0.008562198860867764,0.00815190981022788,0.00785389387537586,0.008672934962105642,0.008038572491895112,0.007079327097803654,0.007321892991905487,0.006907143528236897
CPT001846,0.009182867132553185,0.5605205135839464,0.008751307524406149,0.00843872779294331,0.008813045528422582,0.0080411743803972,0.007864822615168823,0.008807834931261707,0.00865262487008164,0.00894536527790735,0.00716149701040372,0.007373130441620393,0.008941678509122367,0.008228050544626633,0.007237563598446607,0.008598048120841504,0.007316389752249925,0.00800520767250669,0.009551930585996238,0.0092402478259545,0.009594600975300835,0.007172755680584562,0.007226761019456235,0.007170314188875789,0.00855246169037226,0.007098596121700103,0.007210452165714309,0.007251219146023256,0.008231808814215806,0.007259062712833155,0.007133157375131666,0.00755165588840323,0.007504305089557862,0.007211496761137304,0.0073558139824624145,0.008137432529580702,0.0072518278888709375,0.008420732003044974,0.008103422684762057,0.008144724805851135,0.00851614844724186,0.0073484875816806,0.007134802189744857,0.0073540153698576196,0.007111641270739895,0.008099922869975764,0.007510315229177136,0.007304533052597085,0.007189596641705872,0.007810944431497361,0.007861100888695686,0.007451772839395518,0.007185314400307726,0.007352198253019701,0.007253907991170823,0.0071729797320223545,0.00716348406521339,0.007312984850323318,0.00711964973009862,0.007990329658569544,0.008301398131013299,0.007820305198189683,0.007316984449778397,0.00830725812784373,0.007468660095575218,0.007995236362355692,0.008011173720621288,0.007072257253094653,0.007186080815884153,0.007874680555078985,0.007534585365150779,0.007355308194574323,0.007208245496782749,0.007577671019010204,0.007646765860332739,0.007119499259386271,0.007928705779372061,0.007518676151350367,0.007349447669815602,0.007256503671427075,0.007789355451611647,0.007256563062264319,0.007238388428711854,0.007119356135221077,0.0070778253410733,0.007364244849685538,0.007451583459314962,0.00792186399765588,0.007571017360936918,0.007556381196201096,0.007412024858176996,0.0073173850234555735,0.007142196248740277,0.007310144881466378,0.008463602545605318,0.007384241836719682,0.007056573162196546,0.007183123376911278,0.007197842304667677,0.007245611973388626,0.0074296279886902575,0.008501999434084508,0.00713524622067686,0.007041282381200143,0.007952836427413602,0.007937131541165283,0.008167151155607327,0.007879081365051265,0.007127243860274592,0.007451632197140946,0.0070619656043534,0.007130077527750665,0.009140564203817808,0.007841435507513385,0.007714189502288709,0.007625734515391022,0.007901761875106467,0.008410579561762818,0.008606433856445718,0.007214877150928187,0.007350197914975824,0.007109464870522959
X01BR001,0.009373552841235151,0.008751307524406149,0.5610724988001193,0.008289937172204297,0.009651823200028366,0.007442623339082065,0.007635514520306613,0.009302492857387415,0.009394072778416439,0.008460772177603531,0.007450082948233391,0.006906852105561009,0.008628941042675937,0.009907581958434912,0.007474503955431469,0.009655818287557875,0.006862983736069066,0.007865803775291834,0.008783752362075063,0.009733834376901677,0.009020936966240027,0.006926974087191198,0.00697892599212704,0.006983639272325595,0.008302615899022803,0.00696975955699042,0.006990824833425795,0.007453786440201006,0.007844138334478591,0.007145957982596943,0.0070490392424768416,0.007129548109555106,0.007239986906660405,0.007114100460660748,0.007006618881260409,0.009297147263615583,0.007168176848001083,0.009439207985034734,0.009639776024816082,0.007233504802794999,0.009102991419596931,0.0074000085642200834,0.0070663009390127835,0.008099831235631322,0.0068831630238244046,0.007896755307796465,0.0075787491177218575,0.007742052088095858,0.006990204094174323,0.008531352219298438,0.007464894848353106,0.007474687189845316,0.007243234058977381,0.007199219121921767,0.007153364574655993,0.007213695627114182,0.00701202570712958,0.0070670755725414595,0.006967440076007637,0.00939586057725842,0.007578368297764501,0.00715671501579071,0.007327256496398187,0.007935331486708528,0.007471125286360217,0.008868281002272629,0.009450167419861476,0.006953429790693728,0.007065432925515352,0.007342739243833234,0.007555915859299612,0.007355525938978454,0.006935015401539466,0.007784536507625879,0.007452358462826936,0.006913467170855598,0.0074140990854534485,0.007393619724886687,0.007363645237579477,0.0069040714628591515,0.007166954631607934,0.007049675904032404,0.006999806609343724,0.007012228423263702,0.007050202351661288,0.007128854846945141,0.007417433176963327,0.007338397392314015,0.007578910008988823,0.007698873865253442,0.0069072587743361545,0.007262506506787645,0.006861405136095506,0.007307798440236292,0.009197665170146023,0.007124569742614227,0.00686973819374046,0.006967844580493305,0.007294893883901402,0.007247765858187748,0.007278988595311406,0.00746492042961581,0.007203219364680102,0.006840285968730919,0.00786426190243425,0.0073377150499308735,0.007873326545597087,0.007031848748185972,0.006856023395475512,0.0072221024974246616,0.006818325911593419,0.006943144725519045,0.010704073357348527,0.008721556186901682,0.008650680029370238,0.008193215181292804,0.007997545210260651,0.007696691988529904,0.007327323378646851,0.007178270493885772,0.007368384012373025,0.006855842387151955
X01BR008,0.00949466447328389,0.00843872779294331,0.008289937172204297,0.5592412517588694,0.009069558261897597,0.007511635480299473,0.007140691397968963,0.008572553555988852,0.009161586558678204,0.009646237751263918,0.007261271082734463,0.006959216718259567,0.007972091234344166,0.009181360377942146,0.007701288000192638,0.008891291117333215,0.006964150024994254,0.007188196367367915,0.009337276922856262,0.009103578168125325,0.008807181925446765,0.006952594947780024,0.006961612400239189,0.006810499201967206,0.009923128048614706,0.007461357343535315,0.007071798088000881,0.00685723063989384,0.0077471020246857826,0.007053515499207794,0.007055009793730223,0.0071597471778377,0.007479963025928465,0.007169673403922257,0.006909299238980183,0.009240766377890718,0.0071522471988582775,0.010076278141046568,0.009328235221157409,0.007287060651183425,0.009325067602423576,0.00728405360373083,0.007109785710742305,0.007038220914038341,0.0069130080443161376,0.008306744310529746,0.008263335331100198,0.007360183222718834,0.007050189064352052,0.010267387072106868,0.007481330309015978,0.007538871427935001,0.0073670059188477785,0.0071549060516816415,0.0072175833530013405,0.007312987499022807,0.007160522948583767,0.007450569827872473,0.007170749474465257,0.009652981090118602,0.007515303160133602,0.0070162470380061015,0.008207864384879776,0.007362727903810136,0.007105736821048674,0.010327817954340335,0.010080509262491391,0.007058105893919719,0.007622161252119154,0.00731872623053898,0.007887967648755434,0.007266581236995721,0.006855075960667066,0.008231714011609024,0.007203098167493082,0.006821633371846062,0.007338250549164434,0.00858497113335226,0.008174170886930537,0.0069072074598040805,0.007855729089835613,0.006892949699074528,0.007053623032564004,0.007584063068316746,0.006956636970300269,0.0071186185855904955,0.007075743428792302,0.007265493652622161,0.007254170059411434,0.0073995714425408796,0.0068522453548215505,0.007719641656407146,0.006808749786678,0.007344521180157042,0.009508560176897945,0.007770509565120096,0.0069474423196613354,0.00682170335462658,0.0068378463747684,0.007133470813700617,0.007725759218384224,0.007776956195865013,0.007333108166240149,0.006902818923040474,0.007417075061079219,0.007657422009520471,0.007263969747009976,0.0069239925277592585,0.006829743410710073,0.00764627694570582,0.0068706752427484755,0.006989803575948185,0.00819506881673782,0.008480647383573878,0.008187711941090262,0.00874294971899369,0.0073838471706052615,0.009447472387970723,0.008342114453283561,0.007043712934654337,0.007410393079152278,0.006866508038517435
X01BR009,0.00885329486007845,0.008813045528422582,0.009651823200028366,0.009069558261897597,0.5607533737772469,0.008189455280941447,0.007212671365943314,0.008928953632683177,0.009165806426575262,0.009173995199450589,0.007067535882333828,0.006930241002904069,0.01002921093919726,0.008633484578525058,0.007760096801620656,0.009498918766134611,0.0068503984052136835,0.00805779429913097,0.008261810826007295,0.008554177832522837,0.009019374634913634,0.006887735638558266,0.006956147405545457,0.006845877377768495,0.009416709756477327,0.007014805191575404,0.007469158784346585,0.0069408767449713514,0.007979455986588255,0.007108680379230714,0.007052942828031653,0.007174085077330517,0.007124811420273205,0.007136393598554865,0.006999485186630722,0.009039159819137447,0.007710737968030787,0.008930929014374117,0.009311252857083787,0.007428743089054875,0.008943295183244701,0.007786201111988709,0.007082850019635913,0.007199630999987267,0.006873984723699934,0.007568827683588002,0.007623467443012059,0.007323983004516875,0.00701335353936762,0.008780399716631991,0.0075042029811828795,0.007474185906879894,0.007315792956852072,0.007275317001315334,0.0071584398071402305,0.00736958923578776,0.007069757724981239,0.007192677296326913,0.006999277548377425,0.008459605005329964,0.007513607844600682,0.007128845275796953,0.007588188557044887,0.007560756741241134,0.007072369076915217,0.008343838423131963,0.008884857531584458,0.007024193108811205,0.007250866304589482,0.007369882924738669,0.007625637116633761,0.007694596261793296,0.006915802693248209,0.007810233990670328,0.007847929244941342,0.006858334134848728,0.007329997124636669,0.007437408188515982,0.007373866221911633,0.006917366449230756,0.007273810902854073,0.007003292498354588,0.007010399871252975,0.007526780396365021,0.006906096249848767,0.0071927832663143095,0.007273769674654655,0.007544872884130962,0.0076472466652996755,0.008151434031822943,0.006885213757462089,0.007382539612248321,0.0068273207157035845,0.007983889256952717,0.00889339757985378,0.007204192493173853,0.006855173392189872,0.006832251215349297,0.006912927514031952,0.007341905506540866,0.007446405210136341,0.008165391648906707,0.007826600595338323,0.006877477436729024,0.0075587237045765514,0.007549950876671568,0.007464418676027403,0.006954173617304525,0.00685086322507366,0.007304359642276035,0.0068439978562011335,0.007144198545963987,0.009287782143377134,0.00880662128962198,0.008618885212184728,0.009133620529358719,0.00796167626824068,0.00830142049549972,0.007849849729264497,0.0071137886356500615,0.007373736700902739,0.006851525678290556
X01BR010,0.007415028071201785,0.0080411743803972,0.007442623339082065,0.007511635480299473,0.008189455280941447,0.560201203977917,0.0074569053731794125,0.007712850658786139,0.007243635322835397,0.007598464362286599,0.007577751835081525,0.0073646476831542235,0.007990930002035665,0.00724142828606133,0.0074074878119043145,0.007482626851395098,0.007395413304203338,0.007516317829008657,0.007407311673128124,0.007357860152260584,0.00734626847222182,0.00746835162558934,0.007533166576593395,0.007222443359683191,0.008159306482952124,0.007280231159001605,0.007502570688724931,0.007224707696986023,0.007782030730763256,0.007876765331820888,0.007375799253121259,0.008144807212271125,0.007275962783659902,0.007842972712323877,0.007270060234578527,0.007257190558618938,0.007353739318725605,0.007299102830245565,0.007401434559233566,0.010747371242056034,0.007565847871757602,0.00756578870649681,0.007323062365470251,0.007337111209574999,0.007303076092504995,0.007867639786108025,0.008014355215457975,0.008535636218845982,0.007374802474849143,0.007267622875796615,0.008003428395291202,0.0074942719351368085,0.007278318475698228,0.008497393596074,0.007665138523716591,0.007773921094107614,0.007842495543813862,0.007464528315195154,0.007267461331141647,0.007338815961489293,0.008917756480728732,0.007304588268361077,0.007794230596148968,0.008396679718711504,0.007364813805280349,0.0077908590772230255,0.0072729670752295665,0.007740296289324867,0.00738017535542934,0.008825539043610067,0.007665747325215662,0.007489505973285841,0.0072970813966091765,0.007442238672113867,0.007959925899841607,0.007219455743955008,0.010563064471649897,0.00748505549169905,0.007406812418991054,0.007908185741033691,0.007495401266621001,0.0074936835242195325,0.007378904251524991,0.007406989417949364,0.007241467676439892,0.007449559238961649,0.008517168296184846,0.009398799251892877,0.009127744239988675,0.008412287575202435,0.007209555627395076,0.007516878884940596,0.007231171254581453,0.007442832364693815,0.007732728166368373,0.00806440757237526,0.007242546827836473,0.007213909350855872,0.007241218969570395,0.007207724739876544,0.008043028953611068,0.007814444981950044,0.007203349202913484,0.007294787649239638,0.0075750937781011215,0.007958282034977986,0.007905683066321896,0.007396704202175723,0.0072952433368156,0.00841936264966869,0.007228413430387564,0.007189820873142062,0.007434584482042376,0.00798244830809977,0.007989174626267501,0.007565449722020603,0.009047972940148731,0.007870834377855462,0.008764526961231513,0.0073959155238293465,0.007514845630771431,0.007349914945839941
X01BR015,0.007244959722452694,0.007864822615168823,0.007635514520306613,0.007140691397968963,0.007212671365943314,0.0074569053731794125,0.5597474005759782,0.0072408969849104676,0.007085017662470923,0.007442138091021486,0.007547156211744297,0.007902330397653059,0.007401697347077357,0.007095569897716324,0.007653686022331295,0.007733499442643942,0.007697078763951303,0.008916778768336749,0.007911954538103769,0.007185846663490898,0.007163105599457065,0.007943332980722202,0.009473418492571687,0.008433752066696106,0.00719551547505559,0.0076376426514321635,0.007950010393685343,0.008376322308662322,0.007994048256025227,0.008514809298361098,0.008799437102054688,0.00794272044829408,0.00806555893172817,0.007397540188995115,0.007957717936197333,0.007084628035503264,0.009167886081443985,0.007024127567374741,0.007086601022881769,0.00797041232394986,0.0074611975684928155,0.007430049913763894,0.007725971280102653,0.008572949180510773,0.008502369736418222,0.0075505788083334545,0.007451657237236734,0.00805141993415843,0.0077201551353187825,0.007102463939810417,0.007554028679785841,0.0074057626670406395,0.0073376851684914465,0.008155173150868807,0.007553484604016064,0.007348264878897176,0.007471792756356,0.007845184694003776,0.007806485988841304,0.007098700030923506,0.007419880102486657,0.007869862913088936,0.007713848896481376,0.007464968877718615,0.007911155298177295,0.007200671392676233,0.0071141026672076006,0.0075292193618117734,0.00746491651468993,0.0074478926466044326,0.007312491661805044,0.008592681239739806,0.008363495699509548,0.007297349300427795,0.007583483322487726,0.008395387683247815,0.007817978286162788,0.007373374324075571,0.007926965604917046,0.00824781895047863,0.007509761979126202,0.007954256017358477,0.008332404424967854,0.00759739262490652,0.007619232064917917,0.00783946423123815,0.007838580083693682,0.0078996229259393,0.007398507328887994,0.007375926547141776,0.008443957472706256,0.007816935732768905,0.008997668971149161,0.007325021216453327,0.007295950317543225,0.007751992802994343,0.00772257956033388,0.008451168889446106,0.008504328386733477,0.008407552873353489,0.008558159596057817,0.007564588827128146,0.007401333752557674,0.007671796612249097,0.0075028718101927,0.008633179265469046,0.007468473569309178,0.009475004356755802,0.00842298884530365,0.0078115605739813385,0.007980365491387685,0.007603108651264687,0.007822095675423272,0.007261504734669613,0.00726718698454229,0.007216552129969937,0.0074998227587816085,0.007227344869461911,0.007560422078030218,0.008094767333072546,0.007471945499799348,0.00819186850124383
X01BR017,0.008499916643365066,0.008807834931261707,0.009302492857387415,0.008572553555988852,0.008928953632683177,0.007712850658786139,0.0072408969849104676,0.5606175682073996,0.00971499231765621,0.008184598857576135,0.006992918923269751,0.006924328015851427,0.00867585366289736,0.009400327182030158,0.007316828129375996,0.009341764316673447,0.006845415414292618,0.007390280035727274,0.008564416378584929,0.009375202890136668,0.009763569065706742,0.006877541134097414,0.0069021358152729926,0.006954735848027312,0.008027942864943906,0.006922543454910944,0.006983748541319839,0.006968515630955022,0.009141778182240642,0.007148403408585,0.007057733299791719,0.007195384428489757,0.007240440350700428,0.007116091056463511,0.007064985255451642,0.009150823325370896,0.007356286456893783,0.008737898301460875,0.00996797609728747,0.007734425234135215,0.008177913401911544,0.007347427509418588,0.007003722744834188,0.007323808576700549,0.006887835110660219,0.007268342093679219,0.007460501991519336,0.007284056002304603,0.007002080616713426,0.008842373211958483,0.008634903271659224,0.008198683401612589,0.007272186525885411,0.007444080252790462,0.007396792966889931,0.007227069089429952,0.0069680366075992265,0.0071353015693047086,0.006946992714140879,0.008953580576699063,0.008451860459414772,0.007600531884789115,0.007353850140623998,0.008121076473848188,0.007066271365266967,0.008662899709904224,0.00881577180952402,0.006890051014444209,0.007661180605359209,0.007536667498282229,0.008982322073634533,0.00814018965604845,0.007014862051548812,0.007524955496283574,0.00852845248308802,0.0068864114526350625,0.008004799463471476,0.007364640148104123,0.0073714861915319075,0.006931407421630252,0.007557873245564395,0.007049917529923042,0.0070252475396986366,0.007041451827516245,0.006854876279113433,0.0072297700951913756,0.0073531776912665586,0.008571450948953029,0.007731301349178491,0.008279070742016574,0.006929235276417154,0.007472266050430153,0.006859002990220548,0.007925140887491664,0.0095640733083294,0.007161405185183177,0.006821781807594328,0.00713951881503537,0.006975878038071481,0.007813212484878273,0.007847192626110494,0.00845181515674407,0.007361531127918807,0.0068404473847976524,0.008001874265876511,0.007365976433840541,0.008363800161538388,0.006974248599751487,0.006873718490481974,0.007464925441687899,0.006843440331386699,0.006872703718621911,0.008685541312397758,0.008006221489393181,0.007888104760103412,0.007996916565686817,0.007462811658945917,0.007964648770346213,0.0072840454285262035,0.007059344300960233,0.007309053407935051,0.006862546227817357
X01BR018,0.009298977441845022,0.00865262487008164,0.009394072778416439,0.009161586558678204,0.009165806426575262,0.007243635322835397,0.007085017662470923,0.00971499231765621,0.5609914298798809,0.008505215755983045,0.006898101758498056,0.006813745962709569,0.00848818918498646,0.010688869318741311,0.007136528213318789,0.00939887686637936,0.006705792500399645,0.00726119008464087,0.008886642314663747,0.009664125574892428,0.010523825793645667,0.0067204761762938384,0.006745348034605525,0.006685279845587739,0.008376426252266572,0.006826462661645303,0.006843141080282464,0.006759827022780406,0.00836134286762571,0.007035177596164956,0.0069120765022017035,0.006972928167691241,0.007280524599302337,0.00728614411786752,0.006798620900665754,0.010994721688161525,0.007817525225512552,0.01115743158083069,0.009693183703019541,0.007213684418224155,0.009040750308356724,0.007389214368174189,0.006898562496951279,0.007249502662852744,0.0067318033664382545,0.007274711567233924,0.007620542105201031,0.007207600383610433,0.006909089225513081,0.010543836415963624,0.007416492974768813,0.007566378505415537,0.007607026830778388,0.007065337261678105,0.0070833079135636644,0.007167202653666057,0.006971566221208895,0.006911623794576558,0.006868806030096688,0.009778351951658526,0.0076310770054705095,0.006957756800372815,0.007390999755923087,0.00798856187466822,0.006907990705883127,0.00950984099091242,0.010009281703188148,0.0068085441972669525,0.007620696845880759,0.007365495120888563,0.007758440007425839,0.008108708020460468,0.006774824278591765,0.00784015730687727,0.007307562269851374,0.0066818022012920825,0.007148512622117402,0.007427369725920895,0.007460843335574128,0.006725417926812048,0.007190991206958679,0.006804942024115166,0.006857801150968182,0.0068897170662825125,0.006724169290207838,0.007061768267945311,0.007018802664048234,0.0072755658144267555,0.007323027011032681,0.007988470267055275,0.006714518839868861,0.007924752964581266,0.0066581174095899556,0.007992036451858153,0.00909105504727821,0.007014051131795162,0.006723907890484047,0.006702171935699576,0.00672072674551356,0.007876601816582663,0.007890958842339708,0.008095546042314362,0.00795969540447998,0.00670044760050293,0.008019615845041204,0.007192714153061067,0.007351760528151438,0.006766411363665781,0.006694245854295096,0.007139937657533122,0.006668212989165749,0.006770983844534733,0.009466695170595556,0.008645509855530427,0.008400494706298785,0.009006935781800483,0.007485411033932547,0.008506006671820547,0.00723799939644106,0.007041953350394658,0.0073759278400979695,0.006691109382301056
X01BR020,0.009345717455914535,0.00894536527790735,0.008460772177603531,0.009646237751263918,0.009173995199450589,0.007598464362286599,0.007442138091021486,0.008184598857576135,0.008505215755983045,0.5602577705334357,0.007696206948042172,0.007069391653482037,0.008214150601869542,0.009385706775581235,0.007233383734683458,0.00898594297470803,0.007316122519166008,0.007240510008931528,0.008681564189434152,0.008512906706681575,0.008381930056314126,0.006984371251203476,0.007480091241968004,0.00689660440067698,0.010428653012879294,0.0071424045706951905,0.0071468807843767905,0.006941534338432283,0.007869342845500692,0.007096058862386231,0.007577748912363779,0.007168452571005137,0.007061904348481411,0.0077403732580106615,0.006939810590548763,0.00929471680614813,0.007146494898709831,0.009392577149340319,0.008987592244929487,0.007749669402954266,0.009629672426406943,0.007268385801065817,0.007201672008262846,0.007059270031757111,0.007035510556824652,0.008530980280876833,0.008384677511034798,0.007837540034095713,0.007070400944104833,0.008951768888957705,0.007321135435867791,0.007788278716121423,0.007335248556785296,0.007146804416523933,0.0071258359367959035,0.007320951075208686,0.007253131912801631,0.007068640659318007,0.007554411345966961,0.009118104641000081,0.007494305642174855,0.007070305704576176,0.00795794484111382,0.007798938809405032,0.007097145847077861,0.00934047702711693,0.009616328148295682,0.007132929301160723,0.007195291617010078,0.007332700276526055,0.007548421248469451,0.007221654329310359,0.006963005913482001,0.00872728792380172,0.007289631992765866,0.006965464075187961,0.007244667028396719,0.008199987221238735,0.007829269864414776,0.007191895146013757,0.007297995052603815,0.006954159463971824,0.006991267485474547,0.007217399327053019,0.007021275220072988,0.0071516385653749865,0.007135018787405176,0.007764089023195664,0.007591341101006514,0.007334142178081022,0.006961937785120449,0.0073956974039085105,0.006925075861060407,0.007740222247815233,0.008686328798239492,0.007309098237336102,0.007103356006542046,0.006905061168943126,0.006974207723385233,0.007117953825344003,0.008131687884138388,0.007363850707448738,0.007235622398700294,0.007062234475164781,0.007338545380037339,0.007745034450447613,0.007283010361338789,0.007030656492829406,0.007113642572061324,0.007182722083702804,0.006973044369350255,0.007026612464426974,0.008842199710436427,0.008651458572329893,0.008625004538442338,0.008531037788120817,0.0074202494105514195,0.00867894490902786,0.007698638236067283,0.007135811859234564,0.007386503466011129,0.006928991736786357
