Sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
CPT000814,0.2607974,0.3486955,0.3339159,0.32092935,0.6551121,0.77064204,0.54327476,0.54493177,0.6629762,0.6691415,0.5597218,0.5439805,0.6470945,0.27296668,0.33075806,0.7526196,0.29738498,0.29233173,0.3905284,0.71782553,0.5648706,0.26049706,0.25628668,0.6110077,0.25167537,0.28532434,0.6567576,0.7704783,0.7028256,0.6353883,0.7208546,0.45018983,0.66496056,0.7439683,0.40376347,0.2487444,0.48353654,0.4082706,0.6558695,0.25585264,0.5529109,0.72062963,0.27011847,0.5979097,0.60045576,0.59066075,0.2660662,0.2953337,0.5914093,0.57836235,0.49716723,0.779667,0.38069415,0.29711193,0.24489382,0.4436807,0.33834088,0.30038452,0.4761867,0.6720272,0.29350716,0.75036484,0.7494974,0.26054257,0.3140459,0.4799785,0.29134035,0.35385555,0.30206388,0.76986015,0.22565249,0.6515264,0.32337543,0.24365336,0.2594844,0.775127,0.75222886,0.78744274,0.6669241,0.43560103,0.645354,0.6810696,0.37091047,0.6073765,0.7490875,0.46606606,0.6545987,0.71307576,0.6056256,0.34346503,0.34521312,0.360326,0.29572922,0.7907819,0.45857143,0.24791646,0.24912612,0.22051889,0.26302987,0.3559263
CPT001846,0.35195768,0.5250399,0.6037079,0.55513036,0.35359406,0.55729693,0.5067157,0.30675685,0.5595749,0.48707777,0.70684105,0.4501809,0.49434015,0.31212148,0.30320022,0.71265084,0.33196542,0.67404914,0.33685592,0.46168947,0.74496096,0.38303724,0.35912764,0.54083264,0.524574,0.47828937,0.66163486,0.5784198,0.5350958,0.42984796,0.67865133,0.56324494,0.5684904,0.53276753,0.3332839,0.31106558,0.44538927,0.47253668,0.6011699,0.35329536,0.62452245,0.62269866,0.42175984,0.3429142,0.4551854,0.3900618,0.3621831,0.39815852,0.6499313,0.6681057,0.46726096,0.5212303,0.3931707,0.35036212,0.4546988,0.25907713,0.6792841,0.49536353,0.32071483,0.5398229,0.2865425,0.70661944,0.6384633,0.35205114,0.58350796,0.6296645,0.37741816,0.3460189,0.36194795,0.6572875,0.39959034,0.4854725,0.300428,0.48373324,0.34138075,0.6389934,0.74999803,0.75684947,0.54470605,0.41641134,0.64888555,0.42833167,0.57172227,0.65944743,0.54091024,0.7092957,0.38680744,0.6693336,0.5362553,0.31506395,0.5033728,0.5716773,0.56134385,0.7733501,0.44469768,0.28649595,0.46815902,0.38577378,0.26153478,0.3014971
X01BR001,0.31126863,0.32366168,0.33471203,0.51950675,0.49144614,0.6793071,0.6660119,0.35264108,0.6988002,0.74203926,0.70188975,0.37392694,0.5102684,0.2775564,0.3376485,0.6631212,0.38546357,0.62603605,0.42510244,0.5550921,0.46597224,0.49237227,0.26128423,0.70127654,0.42605853,0.46417925,0.68299645,0.6306728,0.58770347,0.50457066,0.71451986,0.3538371,0.66310704,0.6657843,0.37481916,0.38037804,0.5257671,0.21740003,0.6233234,0.43218732,0.6988688,0.6827624,0.32439688,0.5298598,0.37972745,0.57505995,0.24441564,0.3385968,0.62538683,0.5057272,0.6632506,0.65481615,0.661638,0.26104352,0.43698215,0.3640411,0.51082623,0.40415028,0.31441787,0.59808195,0.4498091,0.66017747,0.59829503,0.41079694,0.4606995,0.662652,0.42793453,0.5782296,0.27448872,0.6876584,0.45949733,0.6706344,0.33406878,0.42423865,0.45640433,0.66739124,0.6451514,0.6740506,0.681074,0.28464317,0.4670786,0.56810147,0.38583592,0.49177712,0.42841244,0.5981425,0.46282536,0.61813456,0.33158094,0.3155687,0.52833825,0.3980464,0.6053557,0.69755214,0.61383367,0.30391583,0.36687168,0.40113252,0.5314251,0.45866883
X01BR008,0.27997357,0.3212893,0.34491488,0.35561067,0.68378806,0.71220106,0.55095285,0.7240263,0.74369586,0.48798555,0.6939345,0.50518084,0.77358943,0.33840376,0.320359,0.7445463,0.48183197,0.27107888,0.43139046,0.5883337,0.7312595,0.4386216,0.29120094,0.5557355,0.2467793,0.30033332,0.74773103,0.68329847,0.65626764,0.59272045,0.4304926,0.36258128,0.6548342,0.76361173,0.28209797,0.25062746,0.35121238,0.5486786,0.77485025,0.27988407,0.5098935,0.6332059,0.44313514,0.7555222,0.6199174,0.65449303,0.44924286,0.2509727,0.7228236,0.69576645,0.63075006,0.6541761,0.27906215,0.26460046,0.24625367,0.44912982,0.49925393,0.25382468,0.48263288,0.7444223,0.29057407,0.6289385,0.7153591,0.24370028,0.28574526,0.60120356,0.16150086,0.37376642,0.34718135,0.65803397,0.1999366,0.70975584,0.36385804,0.27337956,0.24935475,0.7926485,0.71367395,0.7540142,0.71962136,0.46994913,0.6355289,0.63086367,0.44371647,0.63763225,0.693745,0.3594192,0.56404185,0.67933846,0.729054,0.33325642,0.28513023,0.2431969,0.2806683,0.7364119,0.23298176,0.28851354,0.28983623,0.36031747,0.40274146,0.35322654
X01BR009,0.35147056,0.4771209,0.5095354,0.47185004,0.28236654,0.6708788,0.63053465,0.52206624,0.72262204,0.47080636,0.6932352,0.3617348,0.58908355,0.30370492,0.3425711,0.72201884,0.35006353,0.62310255,0.35911164,0.514769,0.78907907,0.5350883,0.3126202,0.37555408,0.5940841,0.4750564,0.69509745,0.5882953,0.49855348,0.36322486,0.61309403,0.5331595,0.63330674,0.69605064,0.3514212,0.27554643,0.29481286,0.3393124,0.6888732,0.44027755,0.67760795,0.60509765,0.40849435,0.58523387,0.37243944,0.42368215,0.37282833,0.32633096,0.7128034,0.64977974,0.6713686,0.6044673,0.38071287,0.2681589,0.4098066,0.31481123,0.6966415,0.43691537,0.31230116,0.59472525,0.29905105,0.49664903,0.6227075,0.29448044,0.576973,0.6614783,0.24866074,0.45552623,0.3941447,0.6190119,0.39543092,0.68358636,0.2951836,0.5611951,0.35739544,0.705112,0.75536156,0.7502744,0.67734385,0.30281976,0.68734664,0.39348084,0.5690992,0.6384126,0.45641446,0.45714307,0.28294975,0.65919447,0.55963314,0.34641543,0.52126276,0.3740204,0.5978502,0.7486436,0.28752515,0.22331935,0.4676507,0.37476432,0.33702168,0.293611
X01BR010,0.66843766,0.76293564,0.4788202,0.61892176,0.3072392,0.53228617,0.6753767,0.4706077,0.3673209,0.33398876,0.44437283,0.7203028,0.34531197,0.6147155,0.38698468,0.67085963,0.2837196,0.57804686,0.35132366,0.59203947,0.23494786,0.3069485,0.5167884,0.30610058,0.46210146,0.51836073,0.5459951,0.40320098,0.71134734,0.27169722,0.75103617,0.61747724,0.69983625,0.36309338,0.6119185,0.4492351,0.33955225,0.43674406,0.4709318,0.45524913,0.81125104,0.6469308,0.38941166,0.26252905,0.275737,0.57406914,0.2824049,0.7091702,0.42865878,0.5703231,0.35446095,0.48968318,0.4075895,0.7061373,0.72451806,0.20011468,0.5912441,0.3815811,0.33844465,0.6246671,0.43928528,0.7293244,0.31236973,0.4132359,0.5202551,0.50675076,0.78256786,0.2781696,0.7325742,0.6243014,0.60880816,0.53370327,0.3011773,0.3852809,0.39315087,0.40464863,0.628483,0.27247325,0.2494283,0.44039753,0.7439154,0.4412281,0.6244172,0.6370328,0.59011805,0.34541833,0.5560632,0.7226689,0.28503188,0.45091325,0.2913289,0.58295333,0.5558461,0.63855726,0.6340245,0.3164086,0.67408556,0.25305966,0.22998387,0.20325238
X01BR015,0.64619404,0.5376971,0.5546683,0.5625975,0.4417032,0.41055948,0.43395993,0.45544365,0.36896482,0.34519085,0.44986454,0.5477089,0.42716056,0.6637676,0.41287586,0.5195389,0.45796993,0.5156113,0.63462967,0.49717945,0.50564027,0.6323288,0.60193634,0.4779309,0.62100035,0.6081414,0.4573335,0.43103755,0.62225175,0.4059328,0.5916244,0.46586704,0.44877204,0.461163,0.5991092,0.3866629,0.3734272,0.5850371,0.4754771,0.5887276,0.5849657,0.484424,0.52154243,0.38343415,0.37744564,0.4532204,0.50969714,0.6195026,0.44973946,0.60617775,0.5859324,0.4261253,0.49371615,0.6981952,0.5943188,0.562423,0.49686506,0.5010227,0.5378654,0.46203238,0.48901722,0.37111077,0.4470799,0.5677763,0.5812531,0.46071723,0.6872989,0.5386755,0.6157276,0.5277575,0.651861,0.46772102,0.4555552,0.48853773,0.54705995,0.38238275,0.36299375,0.52009296,0.4286195,0.4508567,0.49176377,0.46434194,0.63787615,0.5335241,0.5721516,0.40489617,0.5403689,0.44017386,0.53231096,0.530198,0.5150673,0.5879711,0.6113663,0.43682134,0.44894046,0.43137786,0.57194257,0.49850553,0.43042275,0.43477
X01BR017,0.47419915,0.35679477,0.33767155,0.6797298,0.4471587,0.57331914,0.70510006,0.3773772,0.68060285,0.4601006,0.67242277,0.43899965,0.7216796,0.37412715,0.4189795,0.64280736,0.7047683,0.46673095,0.55708015,0.40082723,0.27044535,0.5849505,0.2950999,0.68328893,0.56923956,0.4491742,0.684661,0.3932871,0.6894227,0.3628813,0.6666857,0.33439556,0.6953548,0.69827,0.257839,0.44892007,0.29780447,0.3567457,0.7213316,0.33761472,0.69114226,0.6933925,0.6294304,0.7179479,0.43067148,0.7107618,0.33596092,0.50455445,0.63377094,0.6096343,0.5215237,0.3797616,0.50035477,0.5382744,0.60075366,0.35567024,0.6842729,0.32617557,0.35628203,0.7111032,0.35531086,0.7199967,0.46958363,0.33995974,0.38358912,0.70748156,0.4756615,0.30813897,0.52851367,0.4557501,0.38142776,0.7043795,0.32090187,0.35007793,0.30582097,0.5378682,0.4861846,0.4561475,0.6361713,0.45298353,0.5232949,0.5997894,0.40031517,0.495609,0.46360964,0.616637,0.52409256,0.6757612,0.23098657,0.3561923,0.27848986,0.3137341,0.56595117,0.5483882,0.48084345,0.3696343,0.65887266,0.375644,0.5236825,0.38475385
X01BR018,0.26822728,0.22011328,0.5692036,0.6031648,0.51999104,0.706046,0.67850375,0.37817553,0.74367315,0.6527134,0.7783676,0.21773015,0.6670259,0.24005231,0.32542858,0.72179556,0.5958062,0.5039318,0.49317217,0.32649004,0.70673317,0.69203883,0.2609899,0.75579023,0.5775427,0.5311632,0.6886193,0.47073764,0.50721383,0.5091338,0.5380604,0.25122333,0.56774175,0.6984135,0.23226905,0.29642296,0.4787985,0.28218943,0.6727681,0.3653104,0.4796759,0.58843255,0.5130877,0.7568733,0.3442263,0.56470263,0.3622325,0.2464413,0.6681138,0.47291368,0.7679671,0.36878854,0.50894743,0.34619015,0.4267221,0.4106496,0.65319455,0.37996364,0.29153877,0.56864595,0.30305862,0.42672282,0.6723563,0.41757435,0.36293203,0.7286636,0.20260423,0.5532304,0.25163296,0.4721331,0.2860257,0.71416074,0.3666197,0.419132,0.40374058,0.69703716,0.6241539,0.76114863,0.76104325,0.2593496,0.40471023,0.4165365,0.39362517,0.63617706,0.33981964,0.672293,0.30280977,0.42417637,0.54000425,0.26630333,0.46564502,0.2562909,0.6432172,0.5743208,0.33703032,0.27489495,0.47861677,0.6063092,0.5951445,0.56651473
X01BR020,0.39687228,0.33426315,0.51465523,0.37781036,0.5333042,0.6966405,0.6275505,0.4951112,0.68627834,0.48753738,0.6308795,0.37421328,0.6409798,0.29040676,0.31044558,0.70639265,0.3517264,0.49085912,0.5810044,0.6789603,0.683478,0.49594313,0.27597386,0.5018143,0.52840745,0.36577374,0.6568679,0.6814321,0.60398763,0.52437276,0.5605279,0.39324492,0.5948378,0.733615,0.3278757,0.2578324,0.4074111,0.367811,0.6836835,0.4096491,0.5169171,0.63403225,0.26051283,0.64321256,0.47085005,0.55751836,0.39084858,0.2604883,0.6703017,0.62906706,0.69809866,0.6592324,0.41820955,0.3402031,0.3009349,0.41637504,0.5897929,0.40867916,0.3649041,0.6290475,0.29218295,0.49865654,0.71054304,0.3365242,0.47144377,0.5663321,0.27412757,0.5464021,0.3620909,0.6526301,0.31656158,0.6606234,0.38374263,0.38531476,0.32893506,0.7542621,0.7206248,0.76404953,0.69218427,0.31309927,0.54222,0.58565277,0.45818573,0.4554143,0.5249342,0.48007217,0.48978987,0.6521072,0.67027766,0.40439743,0.41035792,0.33679757,0.41057134,0.7440596,0.40040037,0.29110867,0.4324016,0.32683656,0.30009162,0.33035153
