,Sensitivity
0,110.68009999238538
1,133.42083405336376
2,127.24425917006477
3,136.10746277366985
4,137.48622164471203
5,128.1239426480854
6,129.90076679545734
7,126.56890948019642
8,124.77107310085621
9,132.3864511449267
10,134.31080867446616
11,133.39730297237978
12,130.7671426389305
13,129.16642077984295
14,109.21654844737938
15,135.0841986526675
16,137.90689657110107
17,143.9453771072371
18,125.73115122236503
19,124.82235631843145
20,162.87893824682968
21,140.72631456452126
22,134.30393502126276
23,146.06733632677285
24,132.41402281917667
25,116.75188107519014
26,118.19994310014383
27,124.52562238596663
28,127.74494155839238
29,139.25777561804432
30,131.58036590450044
31,133.33391984739345
32,118.00235005423372
33,123.95209075929954
34,150.32014508148038
35,120.2167919869501
36,120.71085005485835
37,122.5504462738079
38,137.83010511054266
39,122.31036895221344
40,130.23920621973423
41,122.63861805809474
42,134.32816765827144
43,138.3127663083473
44,130.17847463558576
45,125.62135675415531
46,127.07197880342265
47,111.01161359209456
48,128.51163822968155
49,122.53178518664164
50,135.0338396859902
51,146.51810683794275
52,116.72857086540847
53,121.45182267034879
54,132.48536508117473
55,147.20845401139468
56,139.4302487451506
57,128.22127706133134
58,135.12507000572452
59,120.59489740498647
60,122.61470720146089
61,135.42535074373478
62,126.23017388660817
63,127.66664034814019
64,124.17061669502245
65,128.49510219276263
66,152.95972256831544
67,121.28250949185568
68,130.02414263971903
69,124.02144342937096
70,134.99807896828898
71,129.57390943449948
72,126.6318020186903
73,127.08425232261352
74,124.81190167591629
75,133.87255225416445
76,124.72661959052591
77,138.80480237565394
78,124.1570577349148
79,115.06565725918222
80,125.82022986711641
81,127.9165873403956
82,140.92671810278017
83,121.23656369415
84,132.87039762164912
85,133.49721722406602
86,134.81685810035316
87,116.12718282742956
88,131.39761351472768
89,120.49102358946561
90,136.78878252249555
91,112.92841796478977
92,136.42780199605124
93,130.85634295281008
94,123.18183786049015
95,126.03082231134046
96,143.463008009537
97,141.05390592235148
98,133.17334529291062
99,128.95222567280058
