epoch_10,epoch_20,epoch_30,epoch_40,epoch_50,epoch_60,epoch_70,epoch_80,epoch_90,epoch_100
FGF18,FGF18,FGF18,FGF18,FGF18,FGF18,FGF18,FGF18,FGF18,FGF18
LINC01354,LINC01354,LINC01354,LINC01354,LINC01354,LINC01354,LINC01354,LINC01354,LINC01354,LINC01354
NBEAL1_x,NBEAL1_x,LINC00672,LINC00672,LINC00672,LINC00672,LINC00672,LINC00672,LINC00672,LINC00672
LINC00672,LINC00672,NBEAL1_x,NBEAL1_x,NBEAL1_x,NBEAL1_x,NBEAL1_x,NBEAL1_x,NBEAL1_x,NBEAL1_x
IFITM10,IFITM10,IFITM10,IFITM10,IFITM10,IFITM10,IFITM10,IFITM10,IFITM10,IFITM10
CD79A,CD79A,CD79A,CD79A,CD79A,CD79A,CD79A,CD79A,CD79A,CD79A
CEACAM6_x,CEACAM6_x,CEACAM6_x,CEACAM6_x,CEACAM6_x,CEACAM6_x,CEACAM6_x,CEACAM6_x,CEACAM6_x,PYHIN1_x
ADM5,PYHIN1_x,PYHIN1_x,PYHIN1_x,PYHIN1_x,PYHIN1_x,PYHIN1_x,PYHIN1_x,PYHIN1_x,CEACAM6_x
PYHIN1_x,ADM5,ADM5,BMPR1B_x,BMPR1B_x,BMPR1B_x,BMPR1B_x,BMPR1B_x,KRT17_x,KRT17_x
KRT17_x,BMPR1B_x,BMPR1B_x,ADM5,ADM5,ADM5,KRT17_x,KRT17_x,BMPR1B_x,BMPR1B_x
BMPR1B_x,KRT17_x,KRT17_x,KRT17_x,GFRA1_x,KRT17_x,ADM5,ADM5,ADM5,ADM5
LOC100506136,LOC100506136,LOC100506136,GFRA1_x,KRT17_x,GFRA1_x,GFRA1_x,GFRA1_x,GFRA1_x,GFRA1_x
MURC,MURC,GFRA1_x,LOC100506136,TNRC18P1,TNRC18P1,TNRC18P1,TNRC18P1,LOC100506136,LOC100506136
TNRC18P1,GFRA1_x,TNRC18P1,TNRC18P1,LOC100506136,LOC100506136,LOC100506136,LOC100506136,TNRC18P1,TNRC18P1
GFRA1_x,TNRC18P1,MURC,MURC,MURC,MURC,MURC,MURC,MURC,MURC
CYP4X1_x,CYP4X1_x,CYP4X1_x,PGR_x,PGR_x,PGR_x,PGR_x,LPCAT2_x,PGR_x,NPY1R_x
LTF_x,LRP2_x,PGR_x,CYP4X1_x,CYP4X1_x,LPCAT2_x,LPCAT2_x,PGR_x,LPCAT2_x,PGR_x
LRP2_x,LTF_x,LRP2_x,NPY1R_x,LPCAT2_x,CYP4X1_x,NPY1R_x,NPY1R_x,NPY1R_x,LPCAT2_x
S100A8_x,S100A8_x,LPCAT2_x,LPCAT2_x,NPY1R_x,NPY1R_x,CYP4X1_x,CYP4X1_x,CYP4X1_x,CYP4X1_x
NPY1R_x,PGR_x,LTF_x,LTF_x,LTF_x,CLIC6_x,CLIC6_x,LTF_x,LTF_x,LTF_x
LPCAT2_x,LPCAT2_x,NPY1R_x,LRP2_x,CLIC6_x,LTF_x,LTF_x,CLIC6_x,LRP2_x,LRP2_x
PGR_x,NPY1R_x,S100A8_x,CLIC6_x,LRP2_x,ESR1_x,ESR1_x,LRP2_x,CLIC6_x,CLIC6_x
GABRP_x,MAGIX,CLIC6_x,S100A8_x,ESR1_x,LRP2_x,LRP2_x,ESR1_x,GABRP_x,GABRP_x
PLIN1_x,CLIC6_x,ESR1_x,ESR1_x,S100A8_x,GABRP_x,GABRP_x,GABRP_x,ESR1_x,ESR1_x
CLIC6_x,PLIN1_x,PLIN1_x,GABRP_x,GABRP_x,S100A8_x,S100A8_x,S100A8_x,PROM1_x,S100A8_x
MAGIX,GABRP_x,GABRP_x,PLIN1_x,PLIN1_x,PROM1_x,PROM1_x,PROM1_x,S100A8_x,PROM1_x
ESR1_x,ESR1_x,MAGIX,PROM1_x,PROM1_x,PLIN1_x,PLIN1_x,PLIN1_x,PLIN1_x,PLIN1_x
CPT1C_x,CHRNA5_x,PROM1_x,CHRNA5_x,CHRNA5_x,CHRNA5_x,CHRNA5_x,ERP27,CHRNA5_x,ERP27
ERP27,PROM1_x,CHRNA5_x,MAGIX,MAGIX,MT1M,MT1M,CHRNA5_x,ERP27,CHRNA5_x
PI15_x,PRIM1_x,PRIM1_x,S100A2,MT1M,MAGIX,ERP27,MT1M,MT1M,AKR1E2_x
VPS53_x,ERP27,PI15_x,PI15_x,S100A2,ERP27,MAGIX,AKR1E2_x,AKR1E2_x,PI15_x
CHRNA5_x,PI15_x,NAT1_x,MT1M,PI15_x,AKR1E2_x,AKR1E2_x,MAGIX,PI15_x,MT1M
PROM1_x,NAT1_x,S100A2,NAT1_x,NAT1_x,PI15_x,PI15_x,PI15_x,MAGIX,MGAM_x
PRIM1_x,CPT1C_x,ERP27,ERP27,ERP27,S100A2,CXCL13,CXCL13,CXCL13,MAGIX
TCEB3_x,AKR1E2_x,MT1M,CXCL13,CXCL13,CXCL13,S100A2,GRB14_x,GRB14_x,CXCL13
MGAM_x,S100A2,AKR1E2_x,AKR1E2_x,AKR1E2_x,NAT1_x,GRB14_x,S100A2,PRIM1_x,S100A2
CXCL13,TCEB3_x,CXCL13,PRIM1_x,PRIM1_x,GRB14_x,NAT1_x,MGAM_x,MGAM_x,GRB14_x
NAT1_x,VPS53_x,CPT1C_x,MGAM_x,GRB14_x,PRIM1_x,VPS53_x,VPS53_x,S100A2,PRIM1_x
AKR1E2_x,CXCL13,MGAM_x,GRB14_x,MGAM_x,VPS53_x,MGAM_x,PRIM1_x,VPS53_x,VPS53_x
CR1_x,MGAM_x,TCEB3_x,VPS53_x,VPS53_x,MGAM_x,PRIM1_x,NAT1_x,CR1_x,CR1_x
S100A2,MT1M,VPS53_x,CPT1C_x,MICALCL_x,CR1_x,CR1_x,CR1_x,NAT1_x,CPT1C_x
MT1M,AREG,GRB14_x,MICALCL_x,CPT1C_x,CPT1C_x,CPT1C_x,CPT1C_x,CPT1C_x,MICALCL_x
KIAA1024_x,RBFOX2_x,AREG,TCEB3_x,CR1_x,MICALCL_x,C1orf106_x,MICALCL_x,MICALCL_x,NAT1_x
CELF6,KIAA1024_x,MICALCL_x,CR1_x,C1orf106_x,C1orf106_x,MICALCL_x,C1orf106_x,C1orf106_x,C1orf106_x
RBFOX2_x,CR1_x,C1orf106_x,C1orf106_x,TCEB3_x,TCEB3_x,FBXO10,AREG,RBFOX2_x,TCEB3_x
TNNT1,GRB14_x,RBFOX2_x,FBXO10,FBXO10,KIAA1024_x,KIAA1024_x,KIAA1024_x,AREG,RBFOX2_x
AREG,FBXO10,KIAA1024_x,KIAA1024_x,KIAA1024_x,FBXO10,TCEB3_x,TCEB3_x,TCEB3_x,TNNT1
C1orf106_x,MTHFD1L_x,CR1_x,RBFOX2_x,RBFOX2_x,AREG,AREG,FBXO10,TNNT1,FBXO10
