,CPT000814,CPT001846,X01BR001,X01BR008,X01BR009,X01BR010,X01BR015,X01BR017,X01BR018,X01BR020,X01BR023,X01BR025,X01BR026,X01BR027,X01BR030,X01BR031,X01BR032,X01BR033,X01BR040,X01BR042,X01BR043,X03BR002,X03BR004,X03BR005,X03BR006,X03BR010,X03BR011,X03BR013,X05BR001,X05BR003,X05BR004,X05BR005,X05BR009,X05BR016,X05BR026,X05BR029,X05BR038,X05BR042,X05BR043,X05BR044,X05BR045,X06BR003,X06BR005,X06BR006,X06BR014,X09BR001,X09BR004,X09BR005,X09BR007,X11BR003,X11BR004,X11BR006,X11BR009,X11BR010,X11BR011,X11BR012,X11BR013,X11BR014,X11BR015,X11BR016,X11BR017,X11BR018,X11BR019,X11BR020,X11BR022,X11BR023,X11BR024,X11BR025,X11BR027,X11BR028,X11BR030,X11BR031,X11BR032,X11BR036,X11BR038,X11BR040,X11BR042,X11BR043,X11BR044,X11BR047,X11BR049,X11BR050,X11BR051,X11BR053,X11BR054,X11BR055,X11BR056,X11BR058,X11BR059,X11BR060,X11BR072,X11BR073,X11BR074,X11BR075,X11BR080,X13BR009,X14BR005,X14BR008,X14BR014,X15BR003,X16BR012,X18BR002,X18BR003,X18BR004,X18BR006,X18BR007,X18BR009,X18BR010,X18BR016,X18BR017,X18BR019,X20BR001,X20BR002,X20BR005,X20BR006,X20BR007,X20BR008,X21BR001,X21BR002,X21BR010,X22BR005,X22BR006
CPT000814,0.5630322218342769,0.010140390899549972,0.01096611823556825,0.011132183409699173,0.00988044898884428,0.007465602400154291,0.006428774068421834,0.009177131710453538,0.011384712254371494,0.01168177472565712,0.006754258116781578,0.0065918315719166315,0.008652570492288285,0.012600030437571748,0.0062916184747722655,0.010493785932476017,0.006914833988757934,0.006524353104891301,0.012286335653812895,0.012495884799107505,0.010487171798592225,0.006228541032710196,0.006095099838680708,0.00600455010407602,0.011163819794885566,0.006392036078877892,0.006396094035211634,0.006228493101281065,0.008103577434766689,0.006289940849345463,0.006282303116924965,0.006316967038926418,0.006048360071807682,0.006482298240098881,0.006292782223271964,0.011949043023480679,0.00605334054040079,0.01266985463790456,0.010642856558511507,0.0066544069523222895,0.012105530070155225,0.006831855424107148,0.00621212921693803,0.0063452799876313306,0.00611167327733996,0.008206752054141078,0.008504350666527683,0.0067633095884934965,0.0063159086023435625,0.009697093527737413,0.0074771634228974395,0.00680985771407274,0.006752964613442025,0.006710601242138285,0.006794156660327864,0.006772977735354893,0.006914341157036092,0.006302319089787284,0.006708452093220112,0.011841762844775372,0.00846592871055736,0.006217669276390413,0.006735998416826698,0.006974856086954318,0.0062957193835934365,0.011620075012441684,0.012018592430779889,0.006391928811157389,0.0062905759930474495,0.006799805218610052,0.007225995984659446,0.00646468187546647,0.006123432223712102,0.009379533749558851,0.00698958105586789,0.006136581769649245,0.007333556130037575,0.0075209860386364,0.0072829947926474235,0.006122714015011806,0.006389556849952727,0.0064462753857315955,0.006295951371035058,0.006315893693280978,0.006324671759374224,0.006293748888548382,0.007037643280350158,0.006927327729954252,0.007546623533564425,0.007465434155450883,0.006303552235055873,0.00714370784839933,0.006154739123326598,0.00684151760879287,0.01051713380843446,0.00666184030719961,0.0066387802534428695,0.006139180710647644,0.006212513966682398,0.006042529273801769,0.00752873189959025,0.0068723434877014065,0.006373007773857176,0.006385961125139545,0.006523149818536184,0.007370217159046534,0.006955042321948766,0.006223392347316065,0.006172105610895347,0.006527005261658312,0.006348148596355366,0.006580151172247777,0.010261578950696949,0.010057609411625623,0.010586637447661498,0.010013750671955509,0.007140785666720828,0.008586435806400842,0.0076485498099859075,0.0064543652137053235,0.00698739236559432,0.0062660003763532965
CPT001846,0.010140390899549972,0.5635391058034255,0.009938905870446716,0.008976957121529286,0.010055893853269243,0.008425563887530789,0.006888902985666696,0.009218850145560604,0.009711745085789546,0.009697052628993081,0.006821195211756016,0.0077196739283728385,0.009718046025619775,0.009389266488607429,0.006707063322988567,0.010495944126144758,0.006922256220696109,0.007679459922636972,0.01061289962461439,0.010240167339614647,0.010059620620175132,0.0067866288675250165,0.006610362454689872,0.006512183202649869,0.009481360886044522,0.00659049882985528,0.006664999193798827,0.006770659320863676,0.008356669435685561,0.006872574731777891,0.006576441187343345,0.007344224329363656,0.006660758914345987,0.006726664431008332,0.006896405870741912,0.00916628351614515,0.0066214749734596,0.00965173228746389,0.009048169423315999,0.007358345662971576,0.009629207664413188,0.007026984626195169,0.006671312996159898,0.007094613396323608,0.006474030273558408,0.007926969015441404,0.008051811097001298,0.006996772775863833,0.006623619987508881,0.0080769449179059,0.0076994580517503654,0.0070938718142653425,0.006817212231477112,0.007476359957721008,0.006856764304548408,0.006697405414353846,0.006733114100587948,0.00681352010792316,0.006775800083570371,0.00933520472585066,0.009189323646191775,0.006891426093929277,0.006840625464391675,0.007527091019356702,0.006597263935673771,0.008810776750851563,0.008975693940224436,0.006626942656307125,0.006536683790335126,0.007238611979000495,0.007488431888771392,0.006879520106183633,0.00672422945841904,0.00797928178176278,0.007728737292821262,0.006464047785546515,0.008317799621075614,0.007128950824305589,0.007063152950284516,0.006655088726563237,0.006625496228459605,0.006876040550290626,0.00677712039334037,0.006905361565815483,0.006648593779447791,0.006896580153465294,0.007605484865827999,0.008043241882987079,0.00769367501438456,0.008384637342714097,0.00653573433453883,0.007168535120338393,0.006532613970247146,0.006980951900473858,0.009081526449584158,0.006888437848268499,0.006577543946198446,0.0065388248398950966,0.00673308478603693,0.0065395846814994135,0.007262596818989369,0.009132548392983905,0.006539798016224609,0.006670327709804441,0.007008893714307707,0.007207464610063128,0.008025969331999944,0.007240285204465905,0.006497103608853231,0.0070540406819722505,0.0065460570746118385,0.00684060011023267,0.010541465317493557,0.009511060222462286,0.008439423912245623,0.008562450649901628,0.007933640590801271,0.007996368988017331,0.007825977303270743,0.00675607538399523,0.007029042883225799,0.006563493005249705
X01BR001,0.01096611823556825,0.009938905870446716,0.5633055972651119,0.00942715608538883,0.011378940164191801,0.008264731410461367,0.006800039536567104,0.010158362670521342,0.011050001633134316,0.010932219949401387,0.006691713085504753,0.006607684766470362,0.00980639159229396,0.012202624211142672,0.00648896117334247,0.011814248633665356,0.0072886858319715225,0.006741453177725607,0.010584478058503644,0.01189438055884941,0.009923007574623208,0.006536269944549545,0.006315643580447744,0.00627546869578193,0.010301510810894763,0.006414228742282835,0.006409250152784761,0.006411106688029508,0.00815249967464883,0.006554630103521622,0.006346476003685354,0.006481926231410667,0.006266029492413085,0.0064799821934533285,0.006452872522931399,0.010797885653616461,0.0062673951779987445,0.010853652049000176,0.011619016233203881,0.006896950218010593,0.010765322606655022,0.006881674728925676,0.0063484390984784225,0.007072277746838991,0.00623576826784357,0.007396835353222355,0.008383207112764978,0.006758997019948202,0.0062994711565166495,0.00891813862730552,0.007589577437936203,0.007170822850428863,0.0067086833931874375,0.00684935920191832,0.006632733484107469,0.006565904968622409,0.006629403797252163,0.006402731990104247,0.006645316943097052,0.011459114677655919,0.008483611255578512,0.006518610478916696,0.0067062362231223825,0.007113991308601778,0.0063230156666384835,0.010356240828159575,0.010629206925783088,0.006410780160511179,0.006359668752757463,0.00736008114662599,0.007324948894486017,0.006640556072211389,0.0062917091977699215,0.00847323483491267,0.007570612162184308,0.00630115630920165,0.007805900122161005,0.00705840207810053,0.007108720463056051,0.006263177591798676,0.006381826136245036,0.006615144241928449,0.006372599727095326,0.006425296778746714,0.0064724998421924465,0.006364642209949596,0.007241701767330813,0.0074687907405416466,0.00804212988865834,0.007515278204701804,0.0063019959370110195,0.007140927383327263,0.006302024459401163,0.006873426840951335,0.009814068531069167,0.006607651446192178,0.0068306448961388405,0.006315600884561325,0.006844460550183375,0.00626845111257995,0.007001640727299538,0.007204798988870708,0.006384483558215311,0.006375412314154229,0.0066735475264133,0.00694417195021373,0.007509172918887794,0.006434098443510849,0.006252781234897049,0.006653778528700722,0.006370852547965145,0.0067180193825694375,0.011844971717379749,0.009666407163957447,0.00952653078784187,0.009320937589968943,0.00739220148153737,0.007750404861327212,0.007107683650672918,0.006583436488388151,0.0069029154030850965,0.0063621465336837785
X01BR008,0.011132183409699173,0.008976957121529286,0.00942715608538883,0.5605937024353095,0.009973492878227842,0.00734721259569469,0.006667926954266486,0.008426166453926133,0.010343655342618278,0.010841043366897951,0.0070890719928970326,0.006830615212309672,0.008474512425281279,0.010946514897110935,0.006639057570381912,0.010097711137719638,0.007589114128302108,0.006731610055930289,0.010993693621254897,0.010012437065173834,0.00923995325146305,0.0065541766406023855,0.006459324639594487,0.006588908170688227,0.01097460361176612,0.0067697682450117746,0.007258060455181018,0.006581510039251406,0.007969721735497405,0.006563100842747298,0.006755547598426902,0.006630308854328278,0.0065320416857749695,0.006747185623040686,0.006744142855860984,0.010463481686496768,0.006484734396076452,0.010987631535041637,0.010232084582016656,0.006791224490758531,0.010578408762265554,0.007202151181337825,0.006604399764714414,0.006855453751024405,0.006521790140752111,0.008317297685680652,0.00859836784331185,0.007556639282051305,0.006679816699622599,0.01074138242616443,0.007552643488622611,0.006988545896429962,0.007054864329791789,0.006948659646151277,0.0071292304069140834,0.006893081493723879,0.007533468321563621,0.0072022918093186256,0.007046059984925857,0.01077325629974186,0.00795384526505585,0.006599717460873988,0.007539692586459715,0.007005154406246752,0.006799292850699799,0.011631074610894285,0.011605191846848627,0.006721629907772413,0.0066988867954759935,0.0069243125285277565,0.007825803754454318,0.006717583872396127,0.00651850982940104,0.008695133680636206,0.0071004431927254716,0.006735350860763951,0.007166009222064425,0.008456354833117009,0.008021764617244619,0.006494630234149256,0.006932737363484085,0.007286674944550887,0.006618762692504339,0.006653404518177598,0.006674557005808302,0.006703445628356824,0.0070562269758971,0.006934750183016506,0.007232550793863477,0.007361143343217543,0.00662734691986473,0.0076479635197050175,0.0070631615992195595,0.0069966225980306,0.010478333611324785,0.006999329802124965,0.007388356604898378,0.006682581164097373,0.0065338003134724,0.00661390994678092,0.0072703465414718765,0.006928174960550255,0.006958244098360172,0.006684307228380379,0.00678507439474715,0.006893518057689576,0.0069531023307029954,0.0065624451129068315,0.007086923697492076,0.006766499401584913,0.00697810584322376,0.006867509005874553,0.00898030042957225,0.009398033873134341,0.009674513101934724,0.00954493104346964,0.00717150667214839,0.009291986534459723,0.007912904326729165,0.006878766569971715,0.007750634060400975,0.006756301303042379
X01BR009,0.00988044898884428,0.010055893853269243,0.011378940164191801,0.009973492878227842,0.5626425596733777,0.008614372849073335,0.00656670672194116,0.009784781222167718,0.010727965544896703,0.011648732926414508,0.0067544596680252185,0.0066062931127189905,0.010881510142455536,0.010938343147213914,0.0064225992567681295,0.011778229641215537,0.006802347663900763,0.00706611079208966,0.009957935637003486,0.010481067218503316,0.009360902655946819,0.006574580164997157,0.0062570298481429976,0.006170342433484752,0.011498218520564214,0.0063992309730892755,0.006405169291364053,0.006466236727084023,0.008456039196643957,0.0065121925023290134,0.00633394716178194,0.006544689067695653,0.00626706570527968,0.006522981507035706,0.006580140326232893,0.009999020658885315,0.006205858223700251,0.011174599864460094,0.010831015158450363,0.00704858026572028,0.010496002317678487,0.006878056284199763,0.006331003887723386,0.00671588411214531,0.006211133714708843,0.007414773377731436,0.008814526205894551,0.006786503621342736,0.00636031380152432,0.008589902239892012,0.007649890332808143,0.007050197768023458,0.0067119748873725555,0.006979351783835334,0.006708774838302314,0.0065265084521739895,0.006867351416428958,0.00646363228656535,0.006701131079951569,0.010286551339590399,0.008953460317027857,0.006584131542008901,0.006687678322861878,0.007371496417252297,0.006323875859577794,0.009810623812854549,0.009956396703760655,0.006431124408499442,0.006353167805140435,0.007008063539995151,0.0074378642908549935,0.006676770141600943,0.00639050807452691,0.008613452674790023,0.008301490878420074,0.006202030546315945,0.007923440594855787,0.007071565416387255,0.007079915362728679,0.006290473734230002,0.00639081900122491,0.006665136800398411,0.006393749541067258,0.006432147874622131,0.006453049153793014,0.006536149031910408,0.0073454105839706844,0.007579256235936003,0.007837632659237127,0.007726284939796591,0.006217440761880767,0.007131900120615696,0.006218410367564578,0.0069693021280168195,0.010354306836405498,0.006692003021786843,0.006414957113317201,0.006251263354747171,0.006474213545539802,0.0061976383435005805,0.007009455792585698,0.007909978083830746,0.006348408545413675,0.006427271084269844,0.007016232093712892,0.0069330235543577715,0.007546246425334026,0.006407285201489777,0.006220058990321582,0.006831358257066325,0.006353576563080875,0.006875856772446766,0.011131175774494791,0.01054077192704243,0.01017825571874469,0.010158832599900889,0.00852245247654006,0.007816131440938318,0.007367176180934857,0.006642580971275521,0.006975481505104002,0.006363544032749536
X01BR010,0.007465602400154291,0.008425563887530789,0.008264731410461367,0.00734721259569469,0.008614372849073335,0.5621092037357607,0.007414234302889719,0.008750075229354129,0.007456564577995241,0.007572436237406782,0.006931689404902871,0.007133698940693125,0.008212645868375364,0.007671162434762596,0.007054192718432169,0.007723842195328569,0.0071266071762077325,0.008148561548138502,0.007509339941054795,0.008148657242762192,0.007653963744203887,0.007236722202479819,0.006967590540321219,0.007046476636314661,0.008407604975783021,0.006953832513527854,0.007133649269264716,0.007180525952780693,0.0077568635225717456,0.007511711885398108,0.0070686767379243886,0.00800395350374221,0.007143155020699945,0.007456353837896206,0.007351349884358974,0.007370783374910209,0.0073048770771938654,0.007542087836470657,0.007690999735103527,0.0105120167211972,0.007408689925400922,0.007628538476906354,0.006940132372389992,0.007319622241808764,0.007080100171874482,0.007407067176297172,0.007380167910850586,0.008673235760887014,0.007087368857864323,0.007246393894861722,0.008265887823791035,0.007309447236645721,0.006982910398412112,0.00860798836344234,0.007662047520323777,0.007056884021231478,0.00690360728498229,0.007374113270669375,0.0069223853769494045,0.007480397598250596,0.009117441141076805,0.007412832883474274,0.007224879936286426,0.008771326373903585,0.0070879012801649335,0.007331861006984489,0.007324453381522043,0.00689720085926478,0.007067881126695822,0.008946365291196159,0.00790265011058504,0.007593194221588923,0.007359495815336228,0.007361962997874755,0.008702328517442723,0.00702088664570496,0.011013563345904403,0.007056166125621675,0.007027479628245304,0.007696269170541014,0.007118093962113451,0.007269992188549788,0.007250763762728093,0.007096881155083151,0.007407815644807737,0.007346537600134808,0.008251796780013882,0.010409990239919016,0.009735307007917332,0.00954673940187888,0.007015109307942803,0.007247848635718648,0.007085341823581375,0.007557031177292476,0.007431192439622977,0.007746383938946397,0.006955484223940881,0.0070883143548854215,0.0070265136231152155,0.007346606255929709,0.00787494811901867,0.008910683524153029,0.0069877110514873835,0.007088581431927348,0.00753838650709742,0.00803738201453598,0.00875625661753595,0.007178258659688248,0.007077096644400024,0.008323676400407027,0.007295023538302624,0.007130723789057951,0.007609831070079499,0.008133518121556039,0.007448881998782876,0.007602694279283867,0.009209933659484557,0.007638183732194884,0.008507888723615444,0.007197405338931899,0.007303022088905733,0.007173994702485413
X01BR015,0.006428774068421834,0.006888902985666696,0.006800039536567104,0.006667926954266486,0.00656670672194116,0.007414234302889719,0.5603369085662786,0.006764154800624532,0.0063828499473244735,0.006356855449819109,0.007655929764362858,0.007730410622189765,0.007736166615758871,0.00629507782916484,0.008824389713709881,0.006429955773927187,0.0075582363893994305,0.009119900848762592,0.006445345078045279,0.006409713020199684,0.006675273292776288,0.008095635649410318,0.01001373786639897,0.008833486794405064,0.006502757593718555,0.007808710889413357,0.008120839625416812,0.008585846803584124,0.007736001380558103,0.008849709103858329,0.009685022253855832,0.008385574366189887,0.008628285714050977,0.007663907552623759,0.008115874826016476,0.0063915670140998965,0.010182774329004713,0.006202720913384439,0.006403556678280384,0.007623391617348239,0.006681932132453329,0.00756008234063122,0.008325292676813725,0.009522707350770229,0.00878462996783245,0.007980011973029253,0.007077689239622244,0.008332532691001088,0.008133543704454092,0.00688710466175785,0.007422578791497029,0.007782969074592772,0.007587880879248001,0.008164968937533813,0.007614399388622385,0.007681186028996428,0.007676089962008408,0.008148629983036908,0.00852067275006475,0.0063452230757151725,0.0068735278994974496,0.008364000120097602,0.0075761623488025225,0.007351189572462299,0.008414439403548218,0.006413194993676536,0.006337219256846482,0.007871751574092554,0.007977574467437937,0.007584948500524527,0.007463407121070388,0.009156295740853936,0.00836932730739936,0.007056346599722393,0.0074791901452143554,0.008534002828975786,0.007197178767396416,0.008023526084379751,0.008768378627203649,0.009104431366887513,0.008120939245027877,0.008119585254505478,0.008904339760371902,0.00797115430302986,0.008204397873731645,0.008138070970994064,0.007612570106394078,0.00733832197564077,0.007196186928251882,0.007282166291898591,0.008985737569010548,0.008109946015022365,0.008988983254283506,0.00743552841030847,0.006702091068866215,0.008175594316246801,0.007781202802040362,0.008469352319666484,0.009200123561448469,0.00883465571978718,0.008831767323818216,0.007700789118374629,0.007816925286330139,0.007698173281132521,0.007912322815315755,0.00916588123804829,0.00746134762950397,0.01021135387974599,0.00855110007243587,0.007750991544664703,0.008043802108820882,0.008009413169598715,0.007311478346066909,0.006580400008654067,0.006673616548143154,0.006574118452432181,0.007337649401454533,0.007250843951602958,0.007660730839076089,0.008063223117032073,0.007557496208454555,0.008152814166452865
X01BR017,0.009177131710453538,0.009218850145560604,0.010158362670521342,0.008426166453926133,0.009784781222167718,0.008750075229354129,0.006764154800624532,0.5614753515459844,0.009844372745427205,0.009062124443352337,0.0067028457121315575,0.0067949649214233895,0.009064166644534185,0.01042785639523602,0.0066794217775471235,0.010114965857130329,0.0067331384915453926,0.0077424829247205295,0.009455740754528201,0.01025111329097174,0.010210382024637803,0.006637610043700667,0.0064152693462660145,0.006430626734088667,0.009227913962717896,0.0065113497552941706,0.006530515352292098,0.006761052145343182,0.00957471242536919,0.007258995207558943,0.006488682483475766,0.006881314311949386,0.006572200345136806,0.006837515189044463,0.006935298350686023,0.00919305267427687,0.006479461314230143,0.009958635645160398,0.010731260230246842,0.007770723080066783,0.008804826592575022,0.007156345392262892,0.00647313296680874,0.0070330094681704605,0.006424634872703101,0.007080554086177858,0.0078515481321427,0.006948257931366765,0.006592630398351451,0.008707695391736919,0.009339394282837891,0.007418180613976016,0.007254357285651451,0.00750363476665938,0.0071925398289621745,0.006712124405126771,0.006621571326753799,0.00674768493617655,0.006694421748046469,0.009557564169516907,0.009497169985880415,0.0068879857293213664,0.00718672547628731,0.008180417726830848,0.0067968513849687015,0.00943782152007963,0.009608374308369732,0.0064718466643704925,0.0065297989151693,0.00728826645402031,0.009381871948463587,0.0071629690627571345,0.006894283426620997,0.0085012878615266,0.009574063566126317,0.006425220837674467,0.00891759851246815,0.007154732298914104,0.007123617717572145,0.00651680414509037,0.006644374394357014,0.006808033372011488,0.006654341755119643,0.006593582759878064,0.006700980760412258,0.006759241510347224,0.008354824274135206,0.008780399126870881,0.008106570219705712,0.008714688497615149,0.006417236566773532,0.007633461536572334,0.006463752481320268,0.0071262281952611285,0.009641274675945662,0.006789926882534025,0.0065020943560729315,0.006498531949592604,0.006636616575512852,0.006484396124281767,0.0069628350676476805,0.009204388288347121,0.006613503746242666,0.006567784224258595,0.006949037958439816,0.007513416052849768,0.009274591681698259,0.0067285790654189465,0.006421650642680813,0.007127028908840798,0.006489418906063718,0.0068837055598203615,0.009374793142215666,0.0087139284316739,0.008510452819040908,0.009171450643906166,0.008384231764916258,0.00757276703937825,0.007038948789111912,0.006693801395678061,0.007138263773337412,0.006517964312038554
X01BR018,0.011384712254371494,0.009711745085789546,0.011050001633134316,0.010343655342618278,0.010727965544896703,0.007456564577995241,0.0063828499473244735,0.009844372745427205,0.5638257252837907,0.011523692619936132,0.006531089368998684,0.006494241919061406,0.009566366219530074,0.012699248390577587,0.00623149591999136,0.011666250024476695,0.007252223635159205,0.006548778966727847,0.010876108635861328,0.011603999152091812,0.010690374977576335,0.006101640782798831,0.006013522287432018,0.005998275776070021,0.010694831494782613,0.006279679001308599,0.00630187208272657,0.006202090984559833,0.008718934038102333,0.006320579770109828,0.006148140536046485,0.0062864401739431384,0.006011139648099583,0.0063560795789009365,0.006528411817012188,0.012690477870901374,0.006035874446810677,0.013020357155371559,0.011764283002411353,0.006664150608208452,0.011275020380442525,0.006827686354611865,0.006111580698405518,0.006435448086941117,0.006025744574825657,0.007523451982638525,0.008414592161149478,0.006653532107851235,0.006165021027724115,0.010233515653500233,0.007528214061785606,0.007052173802250199,0.006581853606923075,0.0072540203984400985,0.0066019947518964235,0.006416715634601253,0.006498244076181665,0.006271981180975425,0.006532360004237438,0.012272416615497926,0.008596989432045248,0.0062834744371251805,0.006663940154651455,0.007013412254233146,0.006155229009168001,0.01163019715513669,0.012468244289491455,0.006212830378514884,0.00617813120558487,0.00675059374123918,0.007343138059882753,0.006457372835746437,0.00613196670714946,0.00881416323457095,0.00718026531730188,0.006076706703018927,0.007442042712571061,0.007045922208495192,0.007165167718725296,0.00605407192103685,0.006260744446807157,0.006491012626443109,0.006210927989289242,0.006219948534307964,0.006237420718115559,0.006238614769704189,0.007182838678396775,0.007064093564711759,0.007437494273642948,0.0075953127667765605,0.006093615625746938,0.007153358274189105,0.006076537446547264,0.006855837879124983,0.010577592987898524,0.006534888255945994,0.006287093623498774,0.006089521471757299,0.006188951611844702,0.006009073830569242,0.006918261256965933,0.007007902168612494,0.006277865906467329,0.006216033516459994,0.006452653937799588,0.00677728749675425,0.0071280896374161405,0.006165341982498513,0.0060911401145087845,0.0064924518870280055,0.006228156040460715,0.006502615676740327,0.011154037728398025,0.010692920607957925,0.009804510318443954,0.011229838578532127,0.007317909624550815,0.007774075443374127,0.006974301702971173,0.006518865144404508,0.006920487635925137,0.006227915669671189
X01BR020,0.01168177472565712,0.009697052628993081,0.010932219949401387,0.010841043366897951,0.011648732926414508,0.007572436237406782,0.006356855449819109,0.009062124443352337,0.011523692619936132,0.5642479807877536,0.007145754070725436,0.006477006561814948,0.009484057646859785,0.012267565519395287,0.006230490358514519,0.011602113302204752,0.00689042561385916,0.00651139494303784,0.011320915444385831,0.010522215364110802,0.009573313971256204,0.006152352667316023,0.006018627850786726,0.005927344964676427,0.012199809470355424,0.006283918163020012,0.006289177616947962,0.006201700696763306,0.008055784717300956,0.0062914101430787146,0.006379959561767895,0.0062857968638393765,0.005960256002919332,0.006381663921281183,0.00628449096326051,0.012086647476362126,0.005986455353174881,0.012308746811285954,0.010983050435095097,0.006670693629157988,0.011873675752063105,0.006768241300612422,0.006168799540726206,0.006387041125470134,0.006041155395236629,0.008211170909664018,0.009052557297283383,0.006658821525820007,0.0061564762489698995,0.009632202335071612,0.007395099032755856,0.00727127133957583,0.006710746460497986,0.006722898163494299,0.006534890167623642,0.006497885697156026,0.0065961053901796105,0.006200704388849601,0.006875380561123667,0.012058726718155652,0.009004308169410277,0.006239057753001502,0.006727910686618704,0.007071347913672822,0.006149670030017412,0.011739877449624792,0.011867236229673476,0.006305671345112312,0.006200340197654266,0.006788453520325651,0.007410055277820878,0.006487171878736658,0.0060758774426879145,0.009307036901137197,0.007313418217121935,0.006020968903406381,0.007392384329679386,0.007145077807829477,0.007309475327163519,0.006045579043731685,0.006236901677357912,0.006382543863086799,0.006200404819070225,0.0062789189544656485,0.006317248729601254,0.006197676799449265,0.0071435006164190865,0.007101369869369122,0.007470724931836813,0.007557815107969899,0.006047225084848703,0.007146124125417011,0.006023596723197172,0.006807798427599596,0.009910391301319516,0.006526457823323222,0.006340658268369593,0.006023104021452539,0.006186385325458385,0.0059602198354645345,0.007242753807388187,0.0069995781472525585,0.006237090041177139,0.006251445256002288,0.006539913449223035,0.006812772306432209,0.007048377683512321,0.006176171199797305,0.006038418029695752,0.006495386487978809,0.006199159946124097,0.006554061759415188,0.01101276223381996,0.010579266642074205,0.010263837704518438,0.01080423980807994,0.007282168687839339,0.008328950046497158,0.007115135985462611,0.006440430548188316,0.006912298900563354,0.0061539124275927426
