Sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
CPT000814,0.66043806,0.7795726,0.22162288,0.28469512,0.52153385,0.1939068,0.73043585,0.23862836,0.51911896,0.34994042,0.57731736,0.6864408,0.3979616,0.31466705,0.21341953,0.25949878,0.3252151,0.4491127,0.7547318,0.75385445,0.7392166,0.59435296,0.23495772,0.52267504,0.31257582,0.5182277,0.24443287,0.30053115,0.536438,0.30438492,0.73403347,0.7161242,0.38671058,0.2360931,0.4856737,0.6052442,0.3663126,0.24843015,0.549016,0.73167306,0.50620043,0.28304332,0.2574902,0.40211067,0.690241,0.2681854,0.71869636,0.53368866,0.41106778,0.76998717,0.33301288,0.38092193,0.2936203,0.6652322,0.2851118,0.32727835,0.28235197,0.29299062,0.5053467,0.60519916,0.45152885,0.7668271,0.704436,0.6986352,0.7000676,0.75744414,0.62884986,0.38669074,0.37806106,0.5780518,0.5399687,0.64495593,0.72794384,0.7025452,0.61255765,0.7027421,0.7010187,0.29111502,0.69129,0.49253237,0.4682089,0.7331537,0.34584624,0.27605325,0.30232224,0.70753956,0.4533137,0.50500673,0.74269116,0.6622125,0.58720016,0.36416933,0.6498444,0.1947009,0.26591247,0.7658888,0.7444722,0.43320495,0.57365435,0.2802324
CPT001846,0.5425148,0.48830533,0.3110579,0.641146,0.3665958,0.41932064,0.543259,0.41615844,0.57560134,0.3562185,0.3697897,0.3747793,0.23307413,0.28791398,0.3723441,0.44576442,0.60503244,0.5533234,0.50309414,0.674755,0.56894577,0.35037774,0.32867435,0.7190195,0.5324923,0.30200398,0.28581548,0.32548684,0.3819595,0.32544833,0.7507061,0.44088632,0.5614557,0.42384976,0.4481318,0.61071134,0.62324977,0.26103225,0.69411504,0.63714564,0.46771574,0.26479733,0.25367618,0.40422028,0.5979614,0.46407995,0.5741751,0.49988568,0.53532994,0.6342606,0.5750974,0.28803727,0.3899083,0.35485697,0.27439106,0.1901109,0.44110674,0.55524695,0.34989178,0.37343335,0.36972526,0.5053349,0.6529979,0.3993751,0.7084454,0.5988607,0.32579967,0.5608014,0.44146636,0.66746384,0.51490784,0.5221234,0.78098685,0.42052624,0.2949162,0.67854637,0.6485466,0.24253783,0.66056967,0.3489457,0.45844868,0.70130837,0.24061488,0.24914806,0.56590337,0.39087927,0.5906425,0.5612524,0.6409372,0.28034884,0.29238153,0.30826753,0.56814814,0.56646574,0.26767728,0.6305634,0.72842777,0.5881618,0.29857305,0.63835824
X01BR001,0.65238416,0.55982995,0.52075213,0.37124294,0.36175418,0.32808754,0.704692,0.28107572,0.6408907,0.35387483,0.5301422,0.70537555,0.56614554,0.43882185,0.305199,0.38491222,0.45514596,0.765454,0.7196996,0.70355356,0.58682835,0.46218586,0.33365545,0.7331482,0.37115175,0.38816905,0.30951783,0.31988025,0.427038,0.504441,0.61965,0.42862797,0.27565303,0.5071816,0.3864864,0.631295,0.6414802,0.3334324,0.699713,0.643943,0.5053396,0.400454,0.31122515,0.41341043,0.70059586,0.4373967,0.4578075,0.3560729,0.5554628,0.67492926,0.47183514,0.40208274,0.35382143,0.578382,0.39492017,0.2510079,0.3991268,0.33051026,0.44678313,0.67870486,0.384722,0.55561876,0.5699285,0.53243124,0.68547994,0.6949421,0.4153207,0.58106714,0.55962944,0.7062783,0.6629365,0.6497853,0.6758664,0.7047361,0.6829375,0.7291847,0.6495872,0.4166242,0.6783246,0.5713322,0.42639393,0.6637591,0.44122434,0.5800779,0.5118292,0.37276193,0.47379515,0.5735511,0.667389,0.46289885,0.40800458,0.27539653,0.6450705,0.29269734,0.36191684,0.70084596,0.69439113,0.43541437,0.32389703,0.28757215
X01BR008,0.7643103,0.75062627,0.25500542,0.3387756,0.47681347,0.22240558,0.69115984,0.23935068,0.5600592,0.35239953,0.4356639,0.53354293,0.39174867,0.24654232,0.2119512,0.30112785,0.21719703,0.38514426,0.7648395,0.7121368,0.7857691,0.73828083,0.29920238,0.42373553,0.21865623,0.6273643,0.2544359,0.47792697,0.34920964,0.25721794,0.66660446,0.7470053,0.43634027,0.38553393,0.5771623,0.70439947,0.35141504,0.36334586,0.5354134,0.7537898,0.5763732,0.24519396,0.46371025,0.3221065,0.7367972,0.32128295,0.76649874,0.7019035,0.45193797,0.7406484,0.364238,0.39557338,0.4099149,0.6473032,0.20856437,0.5334945,0.31722197,0.5378603,0.40832642,0.6675712,0.44601738,0.67515534,0.73616004,0.69541866,0.68180585,0.7163123,0.633987,0.58822143,0.31816155,0.60885,0.51820594,0.69904894,0.6378392,0.70202184,0.6108998,0.5656011,0.67301226,0.38892096,0.7324248,0.52824557,0.31081247,0.6716965,0.3287558,0.32293415,0.2502307,0.7295662,0.39668483,0.6788062,0.73927456,0.67228276,0.7449255,0.35911977,0.6747195,0.19142734,0.34557557,0.71111405,0.78910935,0.3728187,0.6837789,0.30562347
X01BR009,0.6851259,0.5561205,0.45631418,0.6224453,0.35283405,0.38994914,0.64624166,0.29505116,0.6523963,0.44781852,0.37396196,0.39885998,0.33005446,0.31671175,0.35956427,0.4298652,0.49979508,0.616582,0.6425272,0.6905183,0.67940676,0.5291502,0.2937942,0.69479287,0.47192365,0.30724397,0.26027203,0.39352405,0.34316644,0.29252988,0.7752845,0.6043706,0.4876241,0.41899192,0.47303668,0.7325524,0.71548647,0.31049252,0.665708,0.69189847,0.67875373,0.25561738,0.3884263,0.43509278,0.752723,0.4715224,0.5376231,0.43303043,0.575179,0.71963173,0.43854982,0.3437298,0.46055183,0.3640814,0.30099544,0.23189692,0.39220753,0.6373049,0.3267024,0.54942155,0.31830347,0.47385854,0.572506,0.6088953,0.679278,0.7367717,0.29517293,0.6449666,0.45088193,0.7612553,0.6137412,0.4874989,0.7724663,0.5718395,0.36581647,0.7290088,0.6832406,0.28506297,0.70121956,0.59030414,0.44817644,0.7090044,0.2557709,0.2621784,0.65704316,0.4266256,0.5663203,0.61479384,0.68832093,0.2850322,0.4156101,0.3497949,0.62350976,0.29195255,0.23132516,0.72776455,0.71371174,0.43588024,0.37264627,0.5331818
X01BR010,0.24905095,0.57904446,0.34361324,0.656685,0.6006625,0.60218924,0.65544224,0.6624516,0.6674662,0.41646212,0.6408009,0.27720112,0.26609802,0.5982001,0.4902423,0.5181697,0.57650757,0.6090447,0.52675724,0.43944407,0.39616185,0.47591692,0.5783065,0.7738005,0.67403984,0.27978498,0.2685574,0.32981202,0.62379307,0.5224522,0.80253506,0.29117703,0.5054996,0.5384638,0.23767303,0.5153314,0.3901922,0.42172462,0.50870085,0.38154995,0.3160951,0.64053833,0.335436,0.47215474,0.33834043,0.684407,0.5317031,0.39465463,0.53244686,0.7130966,0.65696347,0.23315324,0.4322213,0.30410936,0.56019866,0.37026858,0.7906599,0.39867666,0.49567372,0.28821927,0.4833021,0.56167495,0.60939956,0.5440839,0.48182267,0.6473689,0.34108734,0.40182233,0.3083223,0.6314237,0.4553102,0.32787007,0.71308756,0.53146017,0.2200188,0.5260918,0.7344912,0.24980775,0.55158067,0.28624734,0.4651929,0.58687216,0.31076184,0.31658465,0.78437775,0.3697484,0.6984656,0.63546914,0.33843568,0.3183353,0.42155713,0.24251363,0.73815304,0.47883368,0.36497444,0.76235116,0.57740045,0.62523353,0.60417414,0.6273399
X01BR015,0.5166304,0.48465896,0.53379023,0.5585071,0.5513539,0.48342997,0.47322756,0.5562137,0.5757022,0.58123976,0.47247058,0.53709173,0.5599421,0.6886701,0.5212688,0.51097655,0.5116827,0.49947083,0.49790907,0.44491383,0.37613943,0.4704551,0.46478772,0.42827463,0.40467706,0.42045066,0.6120163,0.6025791,0.45002246,0.45290637,0.60594237,0.48932105,0.7149935,0.56485575,0.38071707,0.6540105,0.6464185,0.5225821,0.49965978,0.4219998,0.5606195,0.51268756,0.47158325,0.54398006,0.49355835,0.501868,0.5150035,0.5015402,0.5622861,0.5248505,0.35007074,0.49001652,0.537513,0.46160385,0.6230538,0.55474335,0.67574495,0.61358076,0.5994177,0.478767,0.5204373,0.46756858,0.4522079,0.7540438,0.36345607,0.44665,0.4389372,0.52174616,0.5676565,0.51256204,0.6063552,0.4593724,0.63737714,0.4649967,0.355237,0.54981005,0.4809043,0.47063524,0.35040066,0.51751316,0.65906453,0.48852307,0.4478574,0.492196,0.6870474,0.51880735,0.6661728,0.49412316,0.4316275,0.42283997,0.6754928,0.5397481,0.39882213,0.62991476,0.5696036,0.38947982,0.41093862,0.43540615,0.41186726,0.595091
X01BR017,0.6679647,0.5789884,0.4148741,0.61631566,0.41946942,0.52850056,0.7057332,0.357783,0.73124075,0.3587575,0.31833643,0.35253528,0.3481013,0.37760055,0.41972324,0.3472348,0.29551816,0.354482,0.5230936,0.60211396,0.55089396,0.7141473,0.45541275,0.7304878,0.4272592,0.32353798,0.29035074,0.35777563,0.38171542,0.6275743,0.52850497,0.5872365,0.41397086,0.5264043,0.3890084,0.68679655,0.54327196,0.5770642,0.67385375,0.52536464,0.6098077,0.31090724,0.60932744,0.39384118,0.6123122,0.66225994,0.25512716,0.6868681,0.3703107,0.6251955,0.5541651,0.33189964,0.27628118,0.49608183,0.41126025,0.46283132,0.46861434,0.29880792,0.31886628,0.26969144,0.40675446,0.42901266,0.5214337,0.5912241,0.66277444,0.48393863,0.3307345,0.5937133,0.3171656,0.6094302,0.74543387,0.43609422,0.4539676,0.68400353,0.5158129,0.41028005,0.7306948,0.33282006,0.70245785,0.38970903,0.3230497,0.70501363,0.24036756,0.5696485,0.47830936,0.43401462,0.40786856,0.7474793,0.38450557,0.40185878,0.70300734,0.3177873,0.727841,0.44324347,0.48759508,0.63778806,0.538855,0.3819744,0.5646652,0.53008014
X01BR018,0.7973288,0.5622041,0.5385826,0.40590826,0.2675669,0.3538325,0.59909695,0.21625648,0.59104216,0.2911622,0.37124774,0.46186936,0.47006392,0.26175413,0.35821486,0.48365796,0.31937236,0.5666133,0.7260651,0.6867883,0.67930645,0.66570646,0.35671186,0.36551353,0.23042542,0.35856754,0.30666798,0.3460263,0.29779074,0.3980576,0.45217204,0.40913504,0.33340564,0.520465,0.46688947,0.7158192,0.6979443,0.37022385,0.6907443,0.64209306,0.55002797,0.29567203,0.65078217,0.30329162,0.7636843,0.3813131,0.42354712,0.5725857,0.4169091,0.6095787,0.46010098,0.40789407,0.4478442,0.50175124,0.21933013,0.40385455,0.24572411,0.401228,0.2359997,0.6862814,0.25291282,0.4193573,0.51648194,0.41171336,0.65302706,0.6090075,0.36152866,0.7585168,0.5898418,0.6801739,0.67616695,0.7561327,0.6440061,0.6907095,0.69449323,0.665236,0.58794105,0.58392584,0.65759873,0.7395827,0.28877702,0.64156264,0.50162506,0.5497225,0.37269634,0.46410722,0.31033257,0.70856655,0.5614209,0.47849882,0.506129,0.3027087,0.4224354,0.35999137,0.30430412,0.5331763,0.6049877,0.21257415,0.35195762,0.34811637
X01BR020,0.69372684,0.63878506,0.52038395,0.45315218,0.34691086,0.32892153,0.64128315,0.26651335,0.5822534,0.39207083,0.45734027,0.57211167,0.33132863,0.32302484,0.304886,0.33104002,0.38324165,0.4337717,0.68651545,0.7264632,0.7396597,0.62421364,0.23208639,0.5006415,0.3576055,0.30606216,0.25191623,0.321039,0.381468,0.28285936,0.67648035,0.64800656,0.4223451,0.22570753,0.41502824,0.6962003,0.5740403,0.27666348,0.5360304,0.6708017,0.6716773,0.2158889,0.2731,0.35202837,0.6904335,0.34001532,0.481593,0.42444927,0.4264304,0.73567396,0.2976694,0.41064858,0.348674,0.5099114,0.31675375,0.33404154,0.30783108,0.3418476,0.37497056,0.4844256,0.33696952,0.563878,0.6325145,0.7021638,0.6299355,0.74112296,0.33294553,0.46665442,0.42378956,0.68323195,0.48429257,0.48521,0.6359066,0.6103424,0.42533123,0.7173052,0.6761834,0.28221413,0.6485261,0.5895605,0.4846688,0.7101481,0.2877941,0.3566481,0.38483,0.5712682,0.48362964,0.49274364,0.66678894,0.45509592,0.5383478,0.29430687,0.6426686,0.2677753,0.26747113,0.70629406,0.70307857,0.40800524,0.40997988,0.3376672
