epoch_10,epoch_20,epoch_30,epoch_40,epoch_50,epoch_60,epoch_70,epoch_80,epoch_90,epoch_100
FGF18_x,FGF18_x,FGF18_x,FGF18_x,FGF18_x,FGF18_x,FGF18_x,FGF18_x,FGF18_x,FGF18_x
LINC00672_x,LINC00672_x,LINC00672_x,LINC00672_x,LINC00672_x,LINC00672_x,CD79A_x,CD79A_x,CD79A_x,CD79A_x
NBEAL1_x,NBEAL1_x,NBEAL1_x,NBEAL1_x,GFRA1_x,GFRA1_x,GFRA1_x,GFRA1_x,GFRA1_x,GFRA1_x
CD79A_x,CD79A_x,GFRA1_x,GFRA1_x,NBEAL1_x,CD79A_x,LINC00672_x,LINC00672_x,LINC00672_x,LINC00672_x
LINC01354,GFRA1_x,CD79A_x,CD79A_x,CD79A_x,NBEAL1_x,NBEAL1_x,NBEAL1_x,NBEAL1_x,NBEAL1_x
GFRA1_x,LINC01354,LINC01354,LINC01354,LINC01354,LINC01354,LINC01354,LINC01354,LINC01354,LINC01354
LOC100506136,LOC100506136,IFITM10_x,IFITM10_x,IFITM10_x,IFITM10_x,IFITM10_x,IFITM10_x,IFITM10_x,IFITM10_x
IFITM10_x,IFITM10_x,LOC100506136,LOC100506136,CYP4X1_x,CYP4X1_x,CYP4X1_x,CYP4X1_x,CYP4X1_x,CYP4X1_x
BMPR1B_x,BMPR1B_x,CYP4X1_x,CYP4X1_x,LOC100506136,LOC100506136,LOC100506136,KRT17_x,KRT17_x,LOC100506136
KRT17_x,CYP4X1_x,TPRG1_x,TPRG1_x,ESR1_x,KRT17_x,KRT17_x,LOC100506136,LOC100506136,KRT17_x
CYP4X1_x,CEACAM6_x,BMPR1B_x,PGR_x,TPRG1_x,ESR1_x,ESR1_x,BMPR1B_x,BMPR1B_x,BMPR1B_x
CEACAM6_x,CHRNA5_x,CHRNA5_x,BMPR1B_x,PGR_x,PGR_x,PGR_x,PGR_x,PGR_x,PGR_x
PGR_x,TPRG1_x,KRT17_x,ESR1_x,KRT17_x,TPRG1_x,BMPR1B_x,ESR1_x,SCUBE2_x,SCUBE2_x
TPRG1_x,KRT17_x,CEACAM6_x,KRT17_x,BMPR1B_x,BMPR1B_x,TPRG1_x,SCUBE2_x,ESR1_x,ESR1_x
CHRNA5_x,PGR_x,PGR_x,CEACAM6_x,SCUBE2_x,SCUBE2_x,SCUBE2_x,TPRG1_x,TPRG1_x,TPRG1_x
NPY1R_x,LPCAT2_x,ESR1_x,SCUBE2_x,CEACAM6_x,LPCAT2_x,CEACAM6_x,LPCAT2_x,LPCAT2_x,LPCAT2_x
ADM5_x,TCEB3_x,LPCAT2_x,LPCAT2_x,LPCAT2_x,CEACAM6_x,LPCAT2_x,CEACAM6_x,CEACAM6_x,S100A8_x
LPCAT2_x,CELF6_x,CPT1C_x,CHRNA5_x,CPT1C_x,CPT1C_x,NPY1R_x,S100A8_x,S100A8_x,GRB14_x
LRP2_x,ESR1_x,SCUBE2_x,CPT1C_x,TCEB3_x,NPY1R_x,CPT1C_x,LRP2_x,CHRNA5_x,CEACAM6_x
GRB14_x,CPT1C_x,TCEB3_x,TCEB3_x,CHRNA5_x,LRP2_x,LRP2_x,NPY1R_x,GRB14_x,LRP2_x
ESR1_x,SCUBE2_x,CELF6_x,NPY1R_x,NPY1R_x,S100A8_x,S100A8_x,CHRNA5_x,LRP2_x,TCEB3_x
MT1M_x,NPY1R_x,NPY1R_x,CELF6_x,LRP2_x,CHRNA5_x,CHRNA5_x,CPT1C_x,NPY1R_x,CHRNA5_x
SCUBE2_x,ADM5_x,ADM5_x,ADM5_x,S100A8_x,TCEB3_x,TCEB3_x,TCEB3_x,TCEB3_x,NPY1R_x
VPS53_x,PLIN5_x,PI15_x,S100A8_x,CELF6_x,CELF6_x,ADM5_x,GRB14_x,GABRP_x,GABRP_x
CPT1C_x,PI15_x,S100A8_x,LRP2_x,ADM5_x,ADM5_x,CELF6_x,ADM5_x,PLIN5_x,PLIN5_x
