Sample,predict_label
C3L-00104,1
C3L-00365,1
C3L-00674,1
C3L-00677,1
C3L-01040,1
C3L-01043,1
C3L-01045,1
C3L-01046,1
C3L-01048,1
C3L-01049,1
C3L-01061,1
C3L-01142,1
C3L-01149,1
C3L-01154,1
C3L-01155,1
C3L-01156,1
C3L-01157,1
C3L-01327,1
C3L-01834,1
C3L-01887,1
C3L-02041,1
C3L-02465,1
C3L-02504,1
C3L-02542,1
C3L-02642,1
C3L-02704,1
C3L-02705,1
C3L-02707,1
C3L-02708,1
C3L-02900,1
C3L-02955,1
C3L-02970,1
C3L-02984,1
C3L-03260,1
C3L-03266,1
C3L-03387,1
C3L-03390,1
C3L-03392,1
C3L-03400,1
C3L-03405,1
C3L-03407,1
C3L-03681,1
C3L-03727,1
C3L-03728,1
C3L-03744,1
C3L-03748,1
C3L-03968,1
C3L-04084,1
C3N-00661,1
C3N-00662,1
C3N-00663,1
C3N-00665,1
C3N-01192,1
C3N-01196,1
C3N-01334,1
C3N-01364,1
C3N-01366,1
C3N-01368,1
C3N-01505,1
C3N-01515,1
C3N-01517,1
C3N-01518,1
C3N-01798,1
C3N-01814,1
C3N-01815,1
C3N-01816,1
C3N-01818,1
C3N-01851,1
C3N-01852,1
C3N-01856,1
