Sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
C3L-00104,0.4552408,0.45145315,0.571432,0.41858822,0.22768287,0.46068025,0.4031162,0.42716825,0.30572388,0.42186657,0.4109314,0.33935025,0.37997526,0.35868493,0.46741742,0.5853781,0.5253915,0.40881088,0.46519086,0.4112804,0.33961585,0.33798876,0.40935564,0.39463705,0.381379,0.5231383,0.27013195,0.3002704,0.39263225,0.39326936,0.4031351,0.4541986,0.36615565,0.55726093,0.28291634,0.42586365,0.37066525,0.36871123,0.2384956,0.43222356,0.5411847,0.39805678,0.43201786,0.44469982,0.3885212,0.3576308,0.35878795,0.32010686,0.516239,0.43627536,0.44125646,0.37191164,0.29371145,0.41348475,0.51058227,0.45728445,0.49194962,0.32714787,0.39992568,0.4592781,0.2746711,0.42438722,0.4035774,0.36829615,0.4275823,0.40825433,0.40644485,0.34766388,0.3744462,0.39835405,0.314748,0.43220973,0.41983098,0.46667105,0.39588532,0.30387908,0.34779438,0.2820247,0.403276,0.41635072,0.5840193,0.3404623,0.41471517,0.43513778,0.40490222,0.44726753,0.35947302,0.34085226,0.4487746,0.5159718,0.47587013,0.5618649,0.48361623,0.4957654,0.33424833,0.4164768,0.41913104,0.39645392,0.45572358,0.42127347
C3L-00365,0.4135722,0.44568104,0.31954616,0.42311037,0.50016826,0.4939984,0.52545375,0.39696565,0.47565874,0.41910824,0.32060024,0.4747488,0.38880527,0.5210186,0.46729708,0.32491815,0.46890342,0.4079005,0.4643255,0.41656,0.40708435,0.47176945,0.41961354,0.47281116,0.32743332,0.4990059,0.41771865,0.5537422,0.33010018,0.39485383,0.42054594,0.38688233,0.43250602,0.3549149,0.48275793,0.54409623,0.3992145,0.32681972,0.5145784,0.39473188,0.4983722,0.41577443,0.3846106,0.44849843,0.34765962,0.47308984,0.39299828,0.372374,0.47114974,0.43638662,0.43446007,0.3041903,0.5357418,0.3573104,0.45602953,0.33738753,0.34055373,0.49686706,0.31977242,0.43388462,0.56479156,0.55067444,0.3876274,0.42194417,0.3578747,0.4528675,0.36533454,0.34114847,0.403597,0.40549195,0.54881954,0.42825305,0.3736126,0.45759946,0.2868088,0.36836618,0.39786822,0.49383774,0.47812003,0.32949007,0.33114973,0.46481192,0.4123848,0.3638026,0.3651757,0.32650334,0.36717105,0.35968554,0.43833858,0.26466158,0.3352834,0.31700626,0.29265177,0.36945713,0.5709125,0.4387273,0.41990697,0.42962807,0.4861905,0.33657628
C3L-00674,0.34141812,0.45026106,0.5934181,0.4300496,0.51063806,0.49958634,0.4943208,0.4167859,0.41085964,0.4297889,0.39187443,0.44196025,0.4012978,0.36329263,0.46740153,0.33499214,0.4733134,0.3879961,0.4640624,0.41981548,0.3285475,0.47267875,0.43951946,0.3298344,0.43276617,0.5415712,0.21939814,0.29547253,0.34129924,0.3965878,0.39095032,0.3881408,0.39168495,0.50922215,0.49422383,0.5548886,0.38368034,0.37852675,0.49762958,0.5185575,0.36109158,0.38100183,0.50332683,0.43908578,0.39402288,0.32010606,0.38587463,0.3255501,0.45828396,0.43428928,0.40760207,0.33725178,0.50607634,0.4407847,0.468386,0.4186806,0.5191728,0.5028751,0.28871366,0.44757962,0.31349587,0.43524545,0.41288388,0.53682995,0.42799625,0.44264287,0.37314284,0.42388844,0.40572697,0.39948907,0.30486476,0.428451,0.3785022,0.44682723,0.36631322,0.47503185,0.4096254,0.44303167,0.5128743,0.38596356,0.57359815,0.42161754,0.3922371,0.36815313,0.39522195,0.39033377,0.33510652,0.3390715,0.4221105,0.51463103,0.36962825,0.46261594,0.30734694,0.3329855,0.34341773,0.43560296,0.41147977,0.43635786,0.35112032,0.34710497
C3L-00677,0.33039245,0.45051354,0.32452095,0.4329911,0.49474308,0.50737274,0.513756,0.41033107,0.425803,0.44059283,0.32851207,0.40321663,0.36672357,0.5403515,0.46731973,0.33974695,0.4540643,0.39427683,0.46436554,0.43123156,0.46853438,0.47074854,0.38681665,0.50421286,0.3376152,0.512333,0.46195775,0.54474914,0.34902734,0.39584583,0.39424112,0.3613036,0.39305517,0.35866398,0.4597879,0.47997433,0.36309975,0.29945388,0.5011657,0.36555853,0.52242786,0.37866557,0.4030165,0.44932187,0.3331049,0.4784725,0.37014776,0.3264949,0.43854117,0.44529948,0.43296388,0.29082802,0.43339592,0.37823832,0.47989187,0.37489992,0.33483496,0.44571948,0.45958132,0.45665026,0.53909045,0.5523292,0.413759,0.44935176,0.4212736,0.42543247,0.3507895,0.35127383,0.40273756,0.38142133,0.42218748,0.43274212,0.4021889,0.45267707,0.26633507,0.28137743,0.3325413,0.505952,0.4941461,0.3110394,0.35580215,0.47648254,0.4241393,0.39682084,0.3849517,0.27778637,0.34459966,0.3289517,0.44490886,0.26606125,0.3352587,0.42182833,0.3795499,0.49531978,0.51846534,0.43514857,0.4085253,0.44008857,0.42423183,0.32873875
C3L-01040,0.32958835,0.44812906,0.5882527,0.427909,0.50844955,0.5103195,0.47969383,0.40288746,0.39413744,0.43185812,0.3912561,0.43095112,0.3842251,0.33444735,0.46737987,0.33035982,0.4648617,0.38612008,0.46542192,0.42013988,0.33424997,0.34242776,0.41440526,0.33422685,0.4377184,0.54673505,0.22748911,0.31081733,0.34578365,0.38995457,0.38096747,0.416082,0.37432408,0.45584282,0.5006811,0.55973935,0.3999209,0.44296128,0.50982237,0.45771366,0.3952333,0.3691287,0.39045042,0.43223327,0.4290898,0.35093847,0.4140568,0.39550102,0.5023072,0.4374978,0.40898588,0.32288024,0.53382635,0.4068606,0.4751843,0.39675134,0.50918764,0.49794495,0.2994259,0.45390725,0.36529624,0.4762869,0.41044322,0.55229557,0.42821354,0.44553083,0.36656564,0.41014287,0.42470255,0.3981736,0.3183183,0.43192378,0.3933695,0.46318668,0.32310858,0.49140197,0.40352768,0.48170555,0.5000835,0.34510764,0.58208156,0.41755456,0.44567603,0.37034786,0.3956166,0.26806742,0.33600783,0.3414115,0.43848276,0.4855793,0.30614215,0.45819408,0.25769332,0.3294749,0.32255694,0.43414018,0.40817738,0.49089217,0.350551,0.34867096
C3L-01043,0.5440567,0.44973564,0.5891786,0.43468523,0.4912324,0.30276096,0.41334686,0.43950996,0.40264034,0.42611742,0.4239504,0.45278955,0.48076284,0.4229299,0.46763438,0.59796166,0.5066229,0.42054182,0.4642511,0.41268677,0.32949832,0.5339335,0.4478956,0.36285374,0.50045556,0.4600892,0.26004636,0.29383525,0.38908464,0.39764094,0.40982658,0.45706442,0.39960915,0.5017623,0.39302692,0.50486153,0.39039397,0.34062326,0.336101,0.5402725,0.50424075,0.40164852,0.5624001,0.47572514,0.44570187,0.32696667,0.37562978,0.26389688,0.38399482,0.43099317,0.43244216,0.36559004,0.36051884,0.48062694,0.5022424,0.44227934,0.4114205,0.37082884,0.39205664,0.43539435,0.3207417,0.38367397,0.42943186,0.42579868,0.49712145,0.3627062,0.40101463,0.4168237,0.4281657,0.40362874,0.3233062,0.4266728,0.39728263,0.46829283,0.4627407,0.4909346,0.4330365,0.2930062,0.5156226,0.434919,0.5766927,0.39441323,0.3983149,0.43060184,0.4063148,0.46252048,0.3616614,0.35188895,0.434569,0.51887685,0.49276212,0.5793662,0.5145556,0.46085975,0.5421778,0.40904665,0.46977395,0.37611303,0.36482012,0.37065333
C3L-01045,0.34818926,0.44531187,0.34583187,0.4229225,0.50485885,0.51529956,0.50999796,0.4187116,0.4680283,0.43466395,0.31580344,0.45657864,0.3822034,0.43806446,0.4672425,0.32044247,0.47640902,0.41396418,0.46514013,0.41849113,0.39226818,0.37209404,0.42503664,0.48505044,0.33911267,0.55713856,0.39419836,0.50729537,0.34477362,0.3918791,0.39783752,0.4138481,0.42268765,0.36948353,0.51004976,0.5527459,0.393853,0.35701668,0.5132201,0.3820256,0.50260335,0.38111785,0.35603496,0.43793458,0.43228668,0.41546994,0.40517235,0.4003409,0.44942892,0.43718848,0.43029484,0.33646303,0.5428326,0.35908818,0.4365911,0.37236848,0.36069348,0.5290038,0.34110177,0.4330588,0.5610947,0.56274664,0.4121795,0.45875072,0.390123,0.46387678,0.3629696,0.37359306,0.40389502,0.39998135,0.43801683,0.42810908,0.39092028,0.46443248,0.2810019,0.4158014,0.40848386,0.524613,0.49818915,0.33554673,0.37733775,0.45599833,0.46776092,0.3841774,0.3800343,0.29431224,0.34162918,0.36150768,0.43578088,0.30838364,0.31922182,0.32994005,0.25755578,0.37101504,0.3560457,0.43851572,0.4061327,0.50882643,0.44039756,0.34122267
C3L-01046,0.33832926,0.44527015,0.5924243,0.43298256,0.35699445,0.23755541,0.4900521,0.53129965,0.327318,0.41591772,0.47998035,0.45887002,0.40448403,0.36461228,0.46717656,0.56371474,0.4211712,0.41113698,0.46543103,0.43090916,0.56066537,0.4075058,0.48708034,0.31441915,0.5442115,0.33701283,0.21250865,0.30238774,0.38208485,0.39595318,0.43126482,0.43363228,0.47108734,0.54334235,0.5198293,0.38246512,0.40161484,0.3225245,0.24792404,0.49633428,0.31256354,0.44366926,0.48927373,0.47710258,0.45948464,0.47090614,0.38338894,0.2412067,0.34035012,0.43877128,0.4508847,0.36378807,0.33497235,0.45241654,0.42280167,0.48062152,0.55789125,0.41430074,0.28782833,0.43102127,0.31259975,0.5226743,0.46190727,0.54475653,0.35492295,0.24974325,0.37637064,0.4103087,0.436086,0.4099871,0.33434793,0.42691493,0.34589332,0.4454481,0.2945559,0.32468593,0.45153448,0.30366912,0.41941416,0.47101346,0.32473698,0.42895722,0.4492451,0.3574857,0.3984872,0.24710186,0.35865054,0.35431665,0.4190406,0.28517962,0.2995548,0.3483495,0.343984,0.3441448,0.36567408,0.41274095,0.4314276,0.43532178,0.3401838,0.4824422
C3L-01048,0.31709298,0.44567794,0.566113,0.41637078,0.49338496,0.5207477,0.47042704,0.40610984,0.4477374,0.42211518,0.38193822,0.38045284,0.37842888,0.33219698,0.4672157,0.32407588,0.51184165,0.40942347,0.46495044,0.40750605,0.34864038,0.30957615,0.4359954,0.35758504,0.39839163,0.5654939,0.25178063,0.29529944,0.36774734,0.3913012,0.4044729,0.4251892,0.38483417,0.42958355,0.36575586,0.56690973,0.38334394,0.43372852,0.5128685,0.4158318,0.5158351,0.37014437,0.41103566,0.4444693,0.45638537,0.33635202,0.3962661,0.40949565,0.4878121,0.4362024,0.4334115,0.35499436,0.5146439,0.3981557,0.48888847,0.36532938,0.54390025,0.48482448,0.29853165,0.43540448,0.3519835,0.47788563,0.4052179,0.4672171,0.3893105,0.46113503,0.37638098,0.38435787,0.40637177,0.39742213,0.30203605,0.4306975,0.3941732,0.4636474,0.41553363,0.5038887,0.39688662,0.3806035,0.49470052,0.32756233,0.57557213,0.4021201,0.4378512,0.36327076,0.37418965,0.40664375,0.366745,0.35316223,0.42304793,0.49496543,0.3179828,0.46684873,0.2513053,0.3312133,0.31521365,0.434321,0.41508704,0.47124258,0.36094308,0.34419945
C3L-01049,0.4929917,0.44929194,0.5889805,0.44094574,0.50528306,0.26274276,0.42292112,0.44485223,0.34273058,0.42975774,0.4562152,0.4420479,0.4567747,0.4843694,0.4675271,0.5937536,0.42487898,0.42490804,0.46432394,0.42516482,0.33220577,0.544084,0.441638,0.38047102,0.4513092,0.3675493,0.23401248,0.2981974,0.36411902,0.38879916,0.42044628,0.44402695,0.42280293,0.5450394,0.37090862,0.3444159,0.3920073,0.36570227,0.29673392,0.5183851,0.43451893,0.45109615,0.55903125,0.46378422,0.40649807,0.32553035,0.38408113,0.24124494,0.27064687,0.43577197,0.4365911,0.3576337,0.32927075,0.4429785,0.48887387,0.47576445,0.46126494,0.31651542,0.4395533,0.43808252,0.3538898,0.33049288,0.46256852,0.37786514,0.5026777,0.36301202,0.38531175,0.43490073,0.44800925,0.41350442,0.3251139,0.4275834,0.3906478,0.4576592,0.45749712,0.43504286,0.3686005,0.40793306,0.49923858,0.4319998,0.48560485,0.34227496,0.37426087,0.452651,0.41443342,0.44825393,0.3851454,0.33705395,0.4340399,0.5161276,0.44486097,0.5700992,0.52331835,0.4700123,0.571571,0.41679746,0.42285496,0.3564345,0.3720811,0.3706315
