Sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
A1-A0SF,0.38962725,0.37827024,0.81727177,0.18587285,0.65339833,0.5232656,0.5637753,0.84451723,0.38971066,0.25395858,0.39415747,0.59863675,0.22522545,0.8251812,0.40597633,0.48496127,0.65565974,0.58798665,0.6843735,0.62098086,0.64091897,0.6893881,0.43919116,0.51379293,0.50831,0.6939326,0.63110113,0.6168455,0.45180544,0.8119157,0.44904038,0.7350791,0.3296829,0.55889,0.60997784,0.5078794,0.74246365,0.40048325,0.6495275,0.47909236,0.45711952,0.5190753,0.7076503,0.66965276,0.22101367,0.24847993,0.21289133,0.82972586,0.7796172,0.59277344,0.36817306,0.7099892,0.368437,0.41104764,0.68652886,0.18554197,0.46308085,0.43230584,0.6503146,0.8025731,0.520139,0.7814489,0.7123499,0.653543,0.5282781,0.35004586,0.45043388,0.32034743,0.54267085,0.35647178,0.5706645,0.27963376,0.5142615,0.49958402,0.581063,0.42564562,0.48311782,0.8969257,0.7223079,0.6689364,0.28576732,0.6690693,0.2814637,0.43442965,0.7679218,0.5335196,0.8421551,0.46387714,0.48758677,0.4947547,0.73847675,0.523744,0.42631513,0.3746029,0.25333565,0.26228267,0.59698075,0.6485741,0.5777908,0.5702447
A1-A0SJ,0.13989219,0.8571273,0.7624189,0.103489794,0.2927216,0.36252686,0.28281626,0.6407201,0.59996736,0.58639073,0.8089937,0.70433944,0.86249435,0.8048881,0.4357261,0.5264635,0.47103724,0.5116723,0.7882038,0.62015516,0.45226765,0.2984348,0.54752564,0.12150885,0.4987474,0.46664923,0.83136547,0.68213993,0.78236073,0.6324351,0.53711,0.73274815,0.6417257,0.69773316,0.35463575,0.50711846,0.396738,0.80587566,0.22705062,0.5766115,0.564263,0.48010528,0.9392843,0.7916159,0.31390047,0.42376837,0.691383,0.4490592,0.5760335,0.17909189,0.850222,0.86178076,0.20041646,0.58275527,0.82605255,0.590988,0.38133425,0.6418627,0.25383508,0.6567373,0.5324693,0.6934049,0.6279555,0.23240209,0.29373446,0.74681234,0.47429517,0.2776191,0.64958066,0.34839287,0.683464,0.47356164,0.6021144,0.31820172,0.4931515,0.23994927,0.32133466,0.77841383,0.8480394,0.4746138,0.25520903,0.6151736,0.5672927,0.67743194,0.60497844,0.21719022,0.4985023,0.65482515,0.44646466,0.83378994,0.4778269,0.64798295,0.32573938,0.31261942,0.7809509,0.2541495,0.69291043,0.31689113,0.4092784,0.49683937
A1-A0SK,0.90678537,0.40514272,0.04436505,0.83860075,0.116447434,0.08186359,0.96801645,0.7055307,0.58347255,0.8587849,0.11502032,0.23343164,0.83817995,0.115100145,0.23395589,0.108214185,0.92631614,0.033894297,0.36274347,0.33965158,0.14426494,0.1532761,0.49174467,0.25843608,0.9567852,0.9422854,0.4525361,0.8677234,0.71406007,0.06101509,0.9329832,0.07877261,0.22683007,0.8809982,0.11362964,0.43885267,0.81012946,0.9518471,0.6984317,0.864707,0.24244004,0.8583205,0.37174436,0.18386808,0.43957925,0.7237232,0.93031394,0.22058752,0.8708033,0.35069886,0.6885726,0.15162733,0.05654907,0.3614486,0.24034072,0.069596104,0.47594517,0.18567629,0.18271863,0.85160613,0.96294,0.1821443,0.7347839,0.07927272,0.25058842,0.7191594,0.9500793,0.94206035,0.16736785,0.05997646,0.17560518,0.24358645,0.10433066,0.25197294,0.8057475,0.91153085,0.47821978,0.9267063,0.8515275,0.10671675,0.93970835,0.9449301,0.8824495,0.08074158,0.9055635,0.94273746,0.40794083,0.94262946,0.9153249,0.7914099,0.45570824,0.050795212,0.25353318,0.31486753,0.8725079,0.14573815,0.58664757,0.37308282,0.089391775,0.9250551
A1-A0SO,0.86921966,0.28567028,0.08122878,0.759357,0.18724054,0.0956088,0.7908442,0.8641911,0.7844413,0.9311787,0.09700378,0.69693345,0.5712528,0.57085574,0.1814298,0.24905533,0.6915566,0.5404872,0.2774717,0.6245321,0.12798694,0.406986,0.26313403,0.24212682,0.8586782,0.90693974,0.2011933,0.3017581,0.12726173,0.25203142,0.814765,0.24970311,0.7276414,0.63759017,0.09130101,0.827181,0.19077103,0.9245994,0.5013164,0.5309434,0.3920213,0.7631426,0.75981176,0.11804945,0.90513456,0.6455084,0.90435743,0.38052562,0.4165486,0.1896967,0.2954947,0.42910427,0.71159154,0.3517866,0.40512437,0.71642816,0.5917877,0.17169611,0.25392783,0.61943984,0.8815849,0.13757925,0.53141224,0.27027038,0.53203005,0.9148325,0.5846233,0.80990636,0.41244063,0.37264523,0.19482723,0.31067806,0.14733964,0.24639344,0.77543294,0.45478705,0.76398724,0.8199141,0.43757764,0.22382139,0.93767995,0.9048752,0.6936184,0.17642274,0.8904985,0.8999567,0.28184482,0.8657955,0.8290447,0.50310034,0.91897106,0.115171835,0.28045005,0.4961189,0.7520836,0.39811563,0.3942582,0.8712193,0.2644402,0.82685524
A1-A0SQ,0.26362616,0.7754604,0.863037,0.18574898,0.5463178,0.36231786,0.14769933,0.8460967,0.9262222,0.29232463,0.43749315,0.7223137,0.38490346,0.8433769,0.5959467,0.13316175,0.32398197,0.50445527,0.5653175,0.52538186,0.2610157,0.5575145,0.4197452,0.07784998,0.6748876,0.66664344,0.38966468,0.7907415,0.72697556,0.7845269,0.8726114,0.79887253,0.6869918,0.67881703,0.6989031,0.62907696,0.26991627,0.4891197,0.46615848,0.44763333,0.13636208,0.7129618,0.45393324,0.5192287,0.26694363,0.254717,0.4762597,0.5208851,0.5260657,0.12114738,0.53542835,0.2856781,0.24637577,0.49815044,0.7601861,0.33242086,0.7214729,0.2116182,0.5989186,0.4857375,0.8057461,0.38625145,0.78673476,0.2183095,0.67685854,0.73492336,0.19433922,0.16732623,0.65675324,0.8745314,0.91225696,0.31808376,0.49195582,0.7153224,0.81852007,0.36709613,0.16489723,0.8486824,0.7998411,0.636944,0.47788146,0.40800858,0.42994317,0.73119926,0.2625,0.5670979,0.8344151,0.69995546,0.77196616,0.5084293,0.50484514,0.6958228,0.28982034,0.1915434,0.39728948,0.24537301,0.8104683,0.35233742,0.67574704,0.18520385
A2-A04N,0.5726623,0.563331,0.73006403,0.50781894,0.28689516,0.6261516,0.559146,0.2215062,0.14264731,0.42512047,0.82821465,0.18376845,0.42039454,0.7829102,0.5624187,0.598044,0.76632136,0.3199672,0.66885936,0.6803939,0.7510993,0.8035954,0.4627769,0.8556835,0.39033654,0.5549716,0.8127957,0.82704633,0.5315449,0.54566437,0.15667573,0.55696535,0.21089138,0.29889143,0.6163075,0.39592573,0.90914,0.78136086,0.5860755,0.56318325,0.57626915,0.57282543,0.8228375,0.7428654,0.35280392,0.69627804,0.19964024,0.3789729,0.8300306,0.48400742,0.71776843,0.83619374,0.5501629,0.79538614,0.42366922,0.46065825,0.31103086,0.59709215,0.55282617,0.7622963,0.47386283,0.8031533,0.5744256,0.49687153,0.41933942,0.12888885,0.75868374,0.62682617,0.7284663,0.25987762,0.5075878,0.4668318,0.26393235,0.40855673,0.41261274,0.25553444,0.61128646,0.66333294,0.65744126,0.76261026,0.21686521,0.5963676,0.73797673,0.43547562,0.38699412,0.27372044,0.6429213,0.24052253,0.49735203,0.46511346,0.5183884,0.4818948,0.6093968,0.40899712,0.2185255,0.17376816,0.8168138,0.55491364,0.7190213,0.40230182
A2-A04P,0.38618895,0.62372494,0.7093314,0.3747041,0.70524395,0.33488175,0.5573994,0.8639176,0.14117688,0.37607872,0.40495062,0.8392055,0.6237328,0.72726727,0.11900509,0.2983476,0.67438227,0.8372549,0.26648986,0.21007055,0.85245705,0.100878544,0.19938296,0.57587487,0.65377104,0.6961544,0.5637427,0.27836666,0.114400074,0.35287514,0.73812646,0.23301646,0.20836698,0.17124048,0.60547024,0.10171934,0.43926203,0.32295096,0.9055213,0.916551,0.18570328,0.5359975,0.20781487,0.5962056,0.5316453,0.7762148,0.2712209,0.83168167,0.08012149,0.9062079,0.2232911,0.617113,0.78239155,0.3777459,0.42496404,0.693496,0.18548036,0.2658121,0.45617357,0.86547935,0.73375905,0.27168578,0.26155916,0.7171476,0.6589216,0.69962585,0.16020942,0.793125,0.3272741,0.12180431,0.19046214,0.40557384,0.610648,0.10230504,0.8486309,0.22771537,0.54699385,0.36655492,0.1544431,0.9037895,0.2987876,0.6668868,0.76805395,0.3146448,0.85136133,0.6218827,0.86506927,0.6528391,0.52304983,0.90312207,0.9234972,0.5308336,0.29377857,0.4864403,0.54538864,0.13996282,0.3972463,0.9297521,0.17302342,0.9044693
A2-A04Q,0.7742381,0.8551545,0.7846842,0.70395374,0.56829447,0.742772,0.69463897,0.63376343,0.709376,0.20412222,0.4907211,0.8306807,0.7377826,0.56015795,0.14438176,0.7866132,0.73309785,0.41414425,0.5085835,0.47379166,0.8797222,0.44096854,0.7798771,0.85360324,0.4315421,0.45129055,0.25141984,0.1333976,0.41946656,0.637982,0.71765876,0.3841331,0.23450778,0.59467053,0.690901,0.14673927,0.18548028,0.12217636,0.45630845,0.2230007,0.17854387,0.31093156,0.35524696,0.4287207,0.27520588,0.73589456,0.39004013,0.8809068,0.5378651,0.6328198,0.24482158,0.6482144,0.6526649,0.16180973,0.4187767,0.5741226,0.16721609,0.47384298,0.3359174,0.64899856,0.68459755,0.89633775,0.57774824,0.8316463,0.28797612,0.4777226,0.64760053,0.33102962,0.21164478,0.39683542,0.23830596,0.4053595,0.92764837,0.70240486,0.6930094,0.309694,0.58257574,0.32750082,0.35562482,0.73668426,0.36342984,0.256476,0.5539853,0.32062376,0.8195808,0.20982993,0.79127336,0.8240876,0.17154194,0.7754747,0.86499673,0.38499796,0.7051903,0.8287505,0.7034859,0.85553575,0.49751917,0.643119,0.36568862,0.7838731
A2-A04T,0.776898,0.5881065,0.2559297,0.67355824,0.19426677,0.24982755,0.8033123,0.66129243,0.87330335,0.7545177,0.12917021,0.52268904,0.83852816,0.3661818,0.11914827,0.6601233,0.83642644,0.45067784,0.34077066,0.39903212,0.36341602,0.49821728,0.3014212,0.79750067,0.76436424,0.6547883,0.2508317,0.19690743,0.54598385,0.32932192,0.6689133,0.25199535,0.21965617,0.56523937,0.20734765,0.16373836,0.51984364,0.7401349,0.6036265,0.67996645,0.25228378,0.39570135,0.21994953,0.22801986,0.84227574,0.7566091,0.8771695,0.78976005,0.22624809,0.6856181,0.45118034,0.5861403,0.7656249,0.3592087,0.48913032,0.7649926,0.2727135,0.262079,0.25799522,0.8124223,0.79112256,0.2557441,0.25653255,0.11025876,0.547274,0.827629,0.83050674,0.52084816,0.25196007,0.1068291,0.33751035,0.24362516,0.41297036,0.53518164,0.8248325,0.39215314,0.65662575,0.60695803,0.24023435,0.67540616,0.74784297,0.5815597,0.7504127,0.19054645,0.7305749,0.79620653,0.58015,0.8537113,0.37412933,0.8696476,0.7090533,0.22470176,0.5214995,0.49462008,0.896634,0.36239097,0.18453959,0.8114256,0.21165606,0.8501217
A2-A04W,0.33335626,0.71134406,0.51209366,0.2910372,0.64491177,0.33771256,0.32694098,0.21537623,0.06429608,0.089066446,0.5840244,0.45606261,0.5965196,0.8939111,0.6086585,0.3589893,0.33229917,0.82179433,0.2665183,0.3004434,0.80726105,0.23247519,0.35400206,0.5596041,0.9189758,0.89694417,0.47516006,0.5319838,0.24896377,0.16159134,0.40314382,0.457822,0.17000023,0.110420875,0.87471324,0.29642433,0.5128575,0.50642216,0.8806912,0.7400645,0.71626496,0.7546479,0.6331209,0.31481433,0.9390755,0.5278025,0.36436582,0.6550668,0.42136678,0.72246,0.69211024,0.7484812,0.18304959,0.73582166,0.3686729,0.8612219,0.71419835,0.6566733,0.36995536,0.3924655,0.56860715,0.60390794,0.44515902,0.41001934,0.63370526,0.22280797,0.21454325,0.35990438,0.2644605,0.38336423,0.8629613,0.4062672,0.6585444,0.56792766,0.6259402,0.94935334,0.9066975,0.34185153,0.30214196,0.8897759,0.113474,0.67636913,0.92414284,0.63341784,0.77252865,0.1806601,0.4998964,0.58026326,0.3838808,0.36796054,0.89106107,0.55462253,0.5608889,0.25764734,0.2832619,0.12531021,0.8348964,0.38722923,0.2830638,0.7227735
