Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Progesterone-mediated oocyte maturation,2/100,0.0028374149918175,0.0466398857481359,0,0,28.988338192419825,170.01259891772904,PGR;CPEB2
KEGG_2021_Human,Oocyte meiosis,2/129,0.0046689935198571,0.0466398857481359,0,0,22.336332958380204,119.87489419310312,PGR;CPEB2
KEGG_2021_Human,Estrogen signaling pathway,2/137,0.0052488722606703,0.0466398857481359,0,0,21.004232804232803,110.26680382213075,PGR;ESR1
KEGG_2021_Human,Breast cancer,2/147,0.006018049773953,0.0466398857481359,0,0,19.545812807881774,99.93758510583235,PGR;ESR1
KEGG_2021_Human,Nitrogen metabolism,1/17,0.0135185584535393,0.0789585793587901,0,0,83.2,358.0671608642671,CA12
KEGG_2021_Human,Chemical carcinogenesis,2/239,0.0152823056823464,0.0789585793587901,0,0,11.90295358649789,49.76695849432562,PGR;ESR1
KEGG_2021_Human,Fatty acid degradation,1/43,0.0338631248228564,0.1360505482881402,0,0,31.65396825396825,107.16225006283427,ACADSB
KEGG_2021_Human,"Valine, leucine and isoleucine degradation",1/48,0.0377301695361429,0.1360505482881402,0,0,28.279432624113475,92.68005025728142,ACADSB
KEGG_2021_Human,Endocrine and other factor-regulated calcium reabsorption,1/53,0.0415827005217073,0.1360505482881402,0,0,25.553846153846155,81.26304639681278,ESR1
KEGG_2021_Human,Hedgehog signaling pathway,1/56,0.0438872736413355,0.1360505482881402,0,0,24.15636363636364,75.5159546794018,SCUBE2
KEGG_2021_Human,Prolactin signaling pathway,1/70,0.0545734252963437,0.1537978349260596,0,0,19.24154589371981,55.958422143360416,ESR1
KEGG_2021_Human,Pathways in cancer,2/531,0.0660570736517368,0.1700430970554443,0,0,5.253848231163921,14.27594638414676,IL6ST;ESR1
KEGG_2021_Human,TGF-beta signaling pathway,1/94,0.0726324709588663,0.1700430970554443,0,0,14.258781362007168,37.3914183271943,THSD4
KEGG_2021_Human,Viral protein interaction with cytokine and cytokine receptor,1/100,0.0770964289305897,0.1700430970554443,0,0,13.390572390572393,34.31599732708391,IL6ST
KEGG_2021_Human,Th17 cell differentiation,1/107,0.0822789179300537,0.1700430970554443,0,0,12.50188679245283,31.22521709590026,IL6ST
KEGG_2021_Human,Thyroid hormone signaling pathway,1/121,0.0925621533335787,0.1793391720838089,0,0,11.035555555555556,26.26324202929869,ESR1
KEGG_2021_Human,Signaling pathways regulating pluripotency of stem cells,1/143,0.1085035282753908,0.1868671875853952,0,0,9.315492957746478,20.689454501587115,IL6ST
KEGG_2021_Human,Spinocerebellar ataxia,1/143,0.1085035282753908,0.1868671875853952,0,0,9.315492957746478,20.689454501587115,XBP1
KEGG_2021_Human,Non-alcoholic fatty liver disease,1/155,0.1170877826276355,0.1891920926547695,0,0,8.584415584415584,18.41212363798959,XBP1
KEGG_2021_Human,JAK-STAT signaling pathway,1/162,0.1220594146159803,0.1891920926547695,0,0,8.208281573498965,17.264046449033206,IL6ST
KEGG_2021_Human,Protein processing in endoplasmic reticulum,1/171,0.128412953098994,0.1895619783842293,0,0,7.770196078431373,15.948358624860344,XBP1
KEGG_2021_Human,Kaposi sarcoma-associated herpesvirus infection,1/193,0.1437628261563664,0.1963698803608277,0,0,6.872222222222222,13.329296096665296,IL6ST
KEGG_2021_Human,Viral carcinogenesis,1/203,0.1506559312870363,0.1963698803608277,0,0,6.528712871287128,12.3572646565605,IL6ST
KEGG_2021_Human,Proteoglycans in cancer,1/205,0.1520282944728988,0.1963698803608277,0,0,6.4640522875817,12.176261782401824,ESR1
KEGG_2021_Human,Lipid and atherosclerosis,1/215,0.1588589831160387,0.1969851390638879,0,0,6.158878504672897,11.330725094627836,XBP1
KEGG_2021_Human,Coronavirus disease,1/232,0.1703529030509593,0.2031130767146053,0,0,5.7007215007215,10.08961060394311,IL6ST
KEGG_2021_Human,Parkinson disease,1/249,0.181699452762253,0.2086178902085127,0,0,5.305376344086022,9.047795795630028,XBP1
KEGG_2021_Human,Cytokine-cytokine receptor interaction,1/295,0.2116768060567991,0.234356463848599,0,0,4.464852607709751,6.932552834156692,IL6ST
KEGG_2021_Human,Amyotrophic lateral sclerosis,1/364,0.2547184195055619,0.266341840095088,0,0,3.603489439853076,4.928119838246599,XBP1
KEGG_2021_Human,Alzheimer disease,1/369,0.2577501678339561,0.266341840095088,0,0,3.553623188405797,4.817876182754914,XBP1
KEGG_2021_Human,Pathways of neurodegeneration,1/475,0.3193659754412947,0.3193659754412947,0,0,2.7440225035161743,3.132075512693097,XBP1
