level	CS1	CS2	CS3	CS4	CS5	p	test	sig
n		   113	    69	   205	   148	   108			NA
fustat (%)	0	    97 (85.8) 	    56 (81.2) 	   182 (88.8) 	   141 (95.3) 	    91 (84.3) 	 0.013		**
	1	    16 (14.2) 	    13 (18.8) 	    23 (11.2) 	     7 ( 4.7) 	    17 (15.7) 			NA
futime (median [IQR])		785.00 [470.00, 1605.00]	738.00 [433.00, 1272.00]	746.00 [435.00, 1471.00]	883.00 [477.50, 1587.75]	672.00 [391.00, 1153.00]	 0.219	nonnorm	
PAM50 (%)	Basal	   107 (94.7) 	     2 ( 2.9) 	     2 ( 1.0) 	     0 ( 0.0) 	     0 ( 0.0) 	<0.001		**
	Her2	     1 ( 0.9) 	    33 (47.8) 	     2 ( 1.0) 	     0 ( 0.0) 	     2 ( 1.9) 			NA
	LumA	     1 ( 0.9) 	    14 (20.3) 	   121 (59.0) 	   132 (89.2) 	    76 (70.4) 			NA
	LumB	     0 ( 0.0) 	    13 (18.8) 	    80 (39.0) 	     1 ( 0.7) 	    30 (27.8) 			NA
	Normal	     4 ( 3.5) 	     7 (10.1) 	     0 ( 0.0) 	    15 (10.1) 	     0 ( 0.0) 			NA
pstage (%)	T1	    24 (21.2) 	    21 (30.4) 	    59 (28.8) 	    40 (27.0) 	    28 (25.9) 	 0.007	exact	**
	T2	    72 (63.7) 	    38 (55.1) 	   121 (59.0) 	    76 (51.4) 	    60 (55.6) 			NA
	T3	    13 (11.5) 	     5 ( 7.2) 	    20 ( 9.8) 	    32 (21.6) 	    14 (13.0) 			NA
	T4	     3 ( 2.7) 	     5 ( 7.2) 	     5 ( 2.4) 	     0 ( 0.0) 	     6 ( 5.6) 			NA
	TX	     1 ( 0.9) 	     0 ( 0.0) 	     0 ( 0.0) 	     0 ( 0.0) 	     0 ( 0.0) 			NA
age 		 55.73 ± 12.14	 58.59 ± 13.19	 56.99 ± 14.04	 58.13 ± 11.60	 62.60 ± 12.70	 0.001		**
